Time,Power,TG,DG,MG,G,ME
0,6,0.596600966,0.038550212,0.000380326,,
60,6,0.180070545,0.186121152,0.136004584,,
60,6,0.145640475,0.164214876,0.136848163,,
60,6,0.148168798,0.172938316,0.145951022,,
120,6,0.060201354,0.079514074,0.067030146,,
120,6,0.070304204,0.085520268,0.074195308,,
120,6,0.059216351,0.066578803,0.059201425,,
240,6,0.046023217,0.061733422,0.063074749,,
240,6,0.032127806,0.038306756,0.038267356,,
240,6,0.03883872,0.048975119,0.052107295,,
