,t,Q,TG,DG,MG,G,ME
0,0.0,6.0,0.61807084,0.039578468,0.00044091046,0.00020549819,5.1647425e-05
1,1.0,6.0,0.60732245,0.04889871,0.0017327592,0.00014089793,0.01197435
2,2.0,6.0,0.5964056,0.058080204,0.003199838,0.000112861395,0.024247296
3,3.0,6.0,0.585386,0.06706632,0.004853256,0.00014139712,0.036877193
4,4.0,6.0,0.5743174,0.075812146,0.006698422,0.00024297833,0.049866624
5,5.0,6.0,0.56324154,0.084284864,0.008735858,0.00043012947,0.06321406
6,6.0,6.0,0.5521885,0.092462145,0.010961808,0.00071201473,0.07691411
7,7.0,6.0,0.54117876,0.100330226,0.013368927,0.0010945052,0.090957314
8,8.0,6.0,0.5302254,0.10788233,0.015947498,0.0015811399,0.10533106
9,9.0,6.0,0.51933694,0.115116544,0.01868619,0.002174016,0.1200206
10,10.0,6.0,0.5085187,0.12203447,0.021572508,0.0028741434,0.13500892
11,11.0,6.0,0.49777487,0.12863943,0.024593301,0.003682252,0.15027836
12,12.0,6.0,0.48710957,0.13493589,0.027735114,0.004599128,0.16581033
13,13.0,6.0,0.47652802,0.14092886,0.030984744,0.0056258105,0.18158652
14,14.0,6.0,0.46603623,0.14662322,0.03432866,0.0067641158,0.19758892
15,15.0,6.0,0.45564198,0.15202364,0.03775382,0.008015947,0.21380007
16,16.0,6.0,0.4453536,0.15713444,0.041247275,0.009384112,0.23020339
17,17.0,6.0,0.43518063,0.16195977,0.044796467,0.010871518,0.24678306
18,18.0,6.0,0.42513254,0.16650334,0.048388854,0.012481302,0.263524
19,19.0,6.0,0.4152194,0.17076886,0.052012682,0.014216559,0.28041202
20,20.0,6.0,0.40545055,0.1747599,0.055656295,0.016080352,0.29743356
21,21.0,6.0,0.39583465,0.17847994,0.059308458,0.0180752,0.3145755
22,22.0,6.0,0.3863792,0.18193257,0.06295837,0.020203222,0.33182526
23,23.0,6.0,0.37709102,0.18512174,0.06659596,0.022466108,0.34917042
24,24.0,6.0,0.36797526,0.18805131,0.070211336,0.024864567,0.36659873
25,25.0,6.0,0.35903576,0.19072562,0.07379526,0.027398923,0.3840985
26,26.0,6.0,0.3502755,0.1931493,0.07733905,0.03006874,0.4016577
27,27.0,6.0,0.34169567,0.19532725,0.08083464,0.032872733,0.4192644
28,28.0,6.0,0.33329707,0.19726467,0.08427417,0.03580927,0.4369067
29,29.0,6.0,0.32507935,0.19896734,0.0876505,0.038876086,0.45457283
30,30.0,6.0,0.31704175,0.20044127,0.090956934,0.042070523,0.47225085
31,31.0,6.0,0.30918285,0.20169282,0.094187014,0.045389563,0.48992887
32,32.0,6.0,0.3015017,0.20272878,0.097334795,0.04883017,0.5075953
33,33.0,6.0,0.29399675,0.2035563,0.100394584,0.052388903,0.5252383
34,34.0,6.0,0.28666702,0.20418283,0.103361055,0.056062553,0.5428462
35,35.0,6.0,0.27951187,0.20461601,0.10622902,0.05984778,0.56040764
36,36.0,6.0,0.27253094,0.20486403,0.10899375,0.06374146,0.57791126
37,37.0,6.0,0.26572445,0.20493484,0.11165045,0.0677404,0.595346
38,38.0,6.0,0.25909263,0.2048367,0.114194766,0.071841635,0.61270076
39,39.0,6.0,0.25263655,0.20457816,0.11662266,0.076042235,0.62996507
40,40.0,6.0,0.24635686,0.20416746,0.11893006,0.08033925,0.6471282
41,41.0,6.0,0.2402546,0.20361307,0.121113524,0.08472984,0.66418016
42,42.0,6.0,0.23433019,0.202923,0.12316964,0.089210786,0.68111074
43,43.0,6.0,0.22858386,0.20210531,0.12509549,0.09377893,0.69790995
44,44.0,6.0,0.22301532,0.20116782,0.12688845,0.09843082,0.7145686
45,45.0,6.0,0.21762331,0.200118,0.12854645,0.10316264,0.7310772
46,46.0,6.0,0.21240596,0.1989631,0.13006786,0.10797032,0.747427
47,47.0,6.0,0.20736052,0.19770998,0.13145137,0.112849355,0.7636089
48,48.0,6.0,0.202483,0.19636518,0.13269621,0.11779489,0.7796145
49,49.0,6.0,0.19776873,0.1949349,0.13380224,0.1228016,0.795436
50,50.0,6.0,0.19321212,0.19342503,0.13476965,0.12786391,0.81106544
51,51.0,6.0,0.18880711,0.19184127,0.13559939,0.13297598,0.8264959
52,52.0,6.0,0.1845468,0.19018897,0.13629279,0.13813156,0.84172
53,53.0,6.0,0.1804239,0.18847331,0.13685173,0.14332415,0.856732
54,54.0,6.0,0.17643125,0.18669942,0.13727863,0.14854744,0.87152594
