Epoch 0 	 loss_c_data: 1.8261e+01 	 loss_c_ode: 2.0221e-03
Epoch 1000 	 loss_c_data: 1.5120e-03 	 loss_c_ode: 5.9917e-06
Epoch 2000 	 loss_c_data: 1.4479e-03 	 loss_c_ode: 4.5551e-06
Epoch 3000 	 loss_c_data: 1.4437e-03 	 loss_c_ode: 3.7422e-06
Epoch 4000 	 loss_c_data: 1.4428e-03 	 loss_c_ode: 3.3244e-06
Epoch 5000 	 loss_c_data: 1.4422e-03 	 loss_c_ode: 2.9661e-06
Epoch 6000 	 loss_c_data: 1.4413e-03 	 loss_c_ode: 1.8735e-06
Epoch 7000 	 loss_c_data: 1.4412e-03 	 loss_c_ode: 1.5056e-06
Epoch 8000 	 loss_c_data: 1.4412e-03 	 loss_c_ode: 1.3465e-06
Epoch 9000 	 loss_c_data: 1.4414e-03 	 loss_c_ode: 1.2570e-06
Epoch 10000 	 loss_c_data: 1.4415e-03 	 loss_c_ode: 1.1697e-06
Epoch 11000 	 loss_c_data: 1.4446e-03 	 loss_c_ode: 1.1018e-06
Epoch 12000 	 loss_c_data: 1.4412e-03 	 loss_c_ode: 9.9028e-07
Epoch 13000 	 loss_c_data: 1.4418e-03 	 loss_c_ode: 8.9568e-07
Epoch 14000 	 loss_c_data: 1.4412e-03 	 loss_c_ode: 8.1721e-07
Epoch 15000 	 loss_c_data: 1.4414e-03 	 loss_c_ode: 7.6063e-07
Epoch 16000 	 loss_c_data: 1.4412e-03 	 loss_c_ode: 7.1741e-07
Epoch 17000 	 loss_c_data: 1.4413e-03 	 loss_c_ode: 6.8392e-07
Epoch 18000 	 loss_c_data: 1.4421e-03 	 loss_c_ode: 6.8750e-07
Epoch 19000 	 loss_c_data: 1.4417e-03 	 loss_c_ode: 6.1931e-07
Epoch 20000 	 loss_c_data: 1.4413e-03 	 loss_c_ode: 5.9520e-07
Epoch 21000 	 loss_c_data: 1.4412e-03 	 loss_c_ode: 5.6850e-07
Epoch 22000 	 loss_c_data: 1.4413e-03 	 loss_c_ode: 5.4828e-07
Epoch 23000 	 loss_c_data: 1.4412e-03 	 loss_c_ode: 5.3068e-07
Epoch 24000 	 loss_c_data: 1.4412e-03 	 loss_c_ode: 5.1394e-07
