,t,TG,DG,MG,G,ME
0,0.0,0.61911421,0.040004937,0.000394678,0.0,0.0
1,1.0,0.6112847133630133,0.04734220171662521,0.0008811651734753251,5.7449265113973524e-06,0.008327473886311054
2,2.0,0.6033299165868378,0.05468859758543324,0.0014762312295964657,1.9079881440120516e-05,0.016904006712138653
3,3.0,0.5952694035225725,0.062017835232787845,0.002184356819477558,4.2229853988828836e-05,0.025718946009874344
4,4.0,0.5871211906054234,0.06930596616434406,0.0030090428428842424,7.76257470533892e-05,0.03476263675838709
5,5.0,0.578901491230092,0.07653151501285385,0.003952929308277249,0.00012788937556251767,0.0440267501398921
6,6.0,0.570624580709002,0.08367548792006921,0.005017933576007068,0.00019582299819376203,0.05350453220307827
7,7.0,0.5623028484263635,0.09072119977640461,0.006205373816762745,0.0002844031400854874,0.06319086439907551
8,8.0,0.5539469244980431,0.09765404139029335,0.007516080188204229,0.0003967789593843918,0.07308224681764841
9,9.0,0.5455660057344651,0.10446110137122225,0.008950446989026545,0.0005362710576264362,0.08317651599645615
10,10.0,0.5371681052350616,0.11113087183179807,0.010508475849044203,0.0007063721200211148,0.09347264748066664
11,11.0,0.5287603979089475,0.1176529149742658,0.012189767812949299,0.0009107442233471374,0.10397039074450731
12,12.0,0.5203494821765637,0.12401762467192959,0.013993504364614068,0.0011532138810252945,0.11466998141258955
13,13.0,0.5119416072123861,0.13021603973897647,0.01591841471438545,0.0014377635447999637,0.1255718655884266
14,14.0,0.5035428284757948,0.13623973356875133,0.017962743668456255,0.0017685195557533007,0.13667648565024137
15,15.0,0.495159152997396,0.14208073124604773,0.02012420576122838,0.0021497352640835743,0.14798405393958092
16,16.0,0.48679655986811876,0.14773151327239822,0.02239997768831688,0.002585773916052858,0.15949449688196182
17,17.0,0.4784610579812145,0.15318500951247763,0.02478667059970337,0.0030810864768682222,0.17120731715112925
18,18.0,0.47015867206241846,0.1584346355156834,0.027280327771429597,0.0036401892789399426,0.18312156572937965
19,19.0,0.4618953821339822,0.1634743507237966,0.029876447423000514,0.004267644347692112,0.19523588567972183
20,20.0,0.45367712910260916,0.16829867523478817,0.032569986675505216,0.004968033324530552,0.2075484562665224
21,21.0,0.4455097532921648,0.17290274707915734,0.035355388559971626,0.005745935464346985,0.220057038590312
22,22.0,0.4373989152812576,0.1772823622668023,0.03822663510275322,0.006605911279166321,0.23275907523930073
23,23.0,0.42935009869720697,0.18143398410024594,0.041177263856504734,0.0075524772178141575,0.2456516521051526
24,24.0,0.42136855992462396,0.18535476366373252,0.04420041167234319,0.008590088611072133,0.25873156171292067
25,25.0,0.41345929830308914,0.18904254517833244,0.047288859403331454,0.009723121103434096,0.27199533581733704
