t,cB,cTG,cDG,cMG,cG
0,0,0.540121748139339,0.057018272702549,9.70141505309e-05,0
2,2.03396526002568,0.0337467996304465,0.0390436434524089,0.0283174141516159,1.14305240503265
4,2.19829074026702,0.0219040716439117,0.0231562396264827,0.0169313391993336,1.29180943517227
6,1.98141616422915,0.0188565230328544,0.0202797070808481,0.0130994219474816,1.54908195015723
