Time,Power,TG,DG,MG,G,ME,T
0,5,0.596600966,0.038550212,0.000380326,,,34
120,5,0.08,0.09,0.08,,,44
240,5,0.040,0.049,0.0477,,,54
360,5,0.028,0.032,0.0335,,,63
