t,TG,DG,MG,G,ME
0,0.596600966,0.038550212,0.000380326,,
60,0.183992668,0.166317302,0.120383875,,
120,0.11004334,0.125131666,0.105132203,,
240,0.056924059,0.063662286,0.058683016,,
360,0.063200954,0.086884893,0.069861437,,
600,0.019022658,0.021642871,0.015548829,,
