,t,TG,DG,MG,G,ME
0,0.0,0.61911421,0.040004937,0.000394678,0.0,0.0
1,1.0,0.6134374012329793,0.0450907144913311,0.0009776673052577971,8.041990440688096e-06,0.006275882013142109
2,2.0,0.6074331068524337,0.05039862778353047,0.0016536635468831955,2.842685535142664e-05,0.012996942270547152
3,3.0,0.6011312320918953,0.055890121984654186,0.002428819041804105,6.36517161183292e-05,0.02014442253857851
4,4.0,0.5945596970708287,0.061529227088564155,0.003308470908657342,0.00011643020661722403,0.02770116599276662
5,5.0,0.5877439790495849,0.06728298219236087,0.004297183326550454,0.00018968096810567658,0.03565209778025746
6,6.0,0.5807067780845976,0.07312170092331718,0.005398827337764829,0.00028651887078012805,0.04398461850360036
7,7.0,0.573468044502399,0.07901886992471766,0.006616662105650335,0.00041024901838682126,0.05268864659592509
8,8.0,0.5660451293082154,0.08495091276558589,0.007953419548564284,0.0005643639724439709,0.06175654800608754
9,9.0,0.5584532996730125,0.09089664558263968,0.00941133973012927,0.0007525409582740394,0.07118265191093087
10,10.0,0.5507061151878154,0.09683687148930978,0.010992199031741052,0.000978640235189232,0.08096289401873946
11,11.0,0.5428159829319632,0.10275384785922717,0.012697294785746067,0.0012467000760807423,0.09109424194321036
12,12.0,0.5347946096302187,0.10863087514730643,0.014527411398582785,0.0015609296806360362,0.10157419135794044
13,13.0,0.5266533602119601,0.11445199327858638,0.01648277459956023,0.0019256979703641264,0.11240034131333232
14,14.0,0.5184035167188561,0.12020178700181197,0.018563003012084096,0.0023455192986148177,0.12357005523517728
15,15.0,0.5100565195174134,0.1258652289615805,0.020767044008814423,0.0028250334562471835,0.1350801228545606
16,16.0,0.5016239943073308,0.1314276978591318,0.023093148100294798,0.00336898556088272,0.1469266558997333
17,17.0,0.4931178387344992,0.13687496587949347,0.02553882190316233,0.00398219948510814,0.15910491300746799
18,18.0,0.48455017955016255,0.1421932820448513,0.028100812773325174,0.004669551633924129,0.1716092680580914
19,19.0,0.4759332701654351,0.14736949188950013,0.030775119283341496,0.005435944663986447,0.1844332697801292
20,20.0,0.4672794524670756,0.15239111382829498,0.03355698307334694,0.006286276866376284,0.19756961474195123
21,21.0,0.4586010711358106,0.15724642251002144,0.03644091865337702,0.007225413703054073,0.2110102060250938
22,22.0,0.44991028924446463,0.16192461179884624,0.03942076136647972,0.008258163708887878,0.2247463301755488
23,23.0,0.4412190836013472,0.16641580129357528,0.04248969462990078,0.009389246710270527,0.2387686357833445
24,24.0,0.4325391376481569,0.1707111187497015,0.0456402999936721,0.010623269843563321,0.2530672331340611
25,25.0,0.4238817725421107,0.17480273453834008,0.048864617210917796,0.011964701710894587,0.2676317789591849
26,26.0,0.4152579043151057,0.17868388353230905,0.05215418940699908,0.013417848631434026,0.28245151275768876
27,27.0,0.40667798613171935,0.18234887884313714,0.055500128970586385,0.014986831474743667,0.2975153368897736
28,28.0,0.39815199990730643,0.18579309109913658,0.05889317203603002,0.01667556272695947,0.3128118277527392
29,29.0,0.3896894591019666,0.18901292050572585,0.06232372272118243,0.01848772332414228,0.32832924043759704
30,30.0,0.3812993528411901,0.19200580150204252,0.0657819271675429,0.02042674414224166,0.34405559254810214
31,31.0,0.37299021203976035,0.19477012592683088,0.06925770823202344,0.022495779687233153,0.3599785859696567
32,32.0,0.36477005352239966,0.19730524441542577,0.07274083440481934,0.024697693310372415,0.37608569813892245
33,33.0,0.3566464256585753,0.19961139887886595,0.07622096753969106,0.02703503357588488,0.39236414013430476
34,34.0,0.3486264046372092,0.2016896938657249,0.07968771361104461,0.029510013771869126,0.40880086785182357
35,35.0,0.34071658887874245,0.20354205209145795,0.08313068674235853,0.032124498173288885,0.4253826248459518
36,36.0,0.332923161433748,0.20517114784883808,0.08653954273379656,0.03487997363663453,0.44209585851058364
37,37.0,0.3252518243246889,0.20658039490076255,0.08990406334690067,0.037777543080665055,0.4589268541894853
38,38.0,0.31770787677701473,0.20777386824915658,0.09321418191596183,0.04081789894371468,0.4758616308681667
39,39.0,0.31029616306509733,0.2087562817832316,0.09646006274326953,0.04400131829424936,0.492886062245816
40,40.0,0.303021114887408,0.20953292506596546,0.09963214417278084,0.047327641643278184,0.5099858376197517
41,41.0,0.29588673599969506,0.21010961839778822,0.10272120215288612,0.05079626898623246,0.5271465289406478
42,42.0,0.28889661199387073,0.21049266240874778,0.10571840215764257,0.05440614885992545,0.5443536131642759
43,43.0,0.2820539172829306,0.21068879067747395,0.10861534877970132,0.05815576879649598,0.5615924946032465
44,44.0,0.2753614183605826,0.2107051015117998,0.11140415022439572,0.06204315555623907,0.5788485663942993
45,45.0,0.2688214663506663,0.21054902837926995,0.11407745369999918,0.06606587722308177,0.5961072645150125
46,46.0,0.2624359974728143,0.21022827064002406,0.11662850967898282,0.07022104786119598,0.6133541311137378
47,47.0,0.25620655120324254,0.20975074453594636,0.1190511982078782,0.07450533193878073,0.630574834998697
48,48.0,0.25013426841210484,0.20912453092018615,0.12134007198094639,0.07891495480544108,0.6477552368305624
49,49.0,0.24421991092126727,0.2083578128585453,0.12349038753948423,0.08344571433372039,0.6648814301006496
50,50.0,0.2384638466031468,0.20745884047205101,0.12549813321150155,0.08809300513348717,0.6819398212246597
