,t,TG,DG,MG,G,ME
0,0.0,0.61911421,0.040004937,0.000394678,0.0,0.0
1,1.0,0.6085290965714669,0.04965721166076612,0.0013170909025824367,1.0425559594295919e-05,0.011528377421200275
2,2.0,0.5976245180794215,0.05935945270898294,0.0024837996699965297,4.605408321367577e-05,0.02367092203348875
3,3.0,0.586455676806829,0.06904130338075112,0.0039021144277534186,0.00011473034101072699,0.03639543056488037
4,4.0,0.5750723994427538,0.07864065843018245,0.00557593217875126,0.00022483493376057595,0.049672734923660755
5,5.0,0.5635191985496497,0.08810335772427272,0.007506087038770944,0.00038518186192959547,0.06347678415477276
6,6.0,0.5518353750088429,0.09738277459832381,0.009690746048570304,0.0006049292715033516,0.07778476178646088
7,7.0,0.5400554678493357,0.10643908197375487,0.01212577157478097,0.000893503674888052,0.09257684275507927
8,8.0,0.5282098316678023,0.11523841696175288,0.01480504063713613,0.001260536300833337,0.10783581249415874
9,9.0,0.5163253416397786,0.1237519914502139,0.017720684956864147,0.0017158072005258873,0.12354648858308792
10,10.0,0.504426143234334,0.13195523901226472,0.02086325277398589,0.0022691909252898768,0.13969502039253712
11,11.0,0.492534260367713,0.13982713969739627,0.024221822235838204,0.0029306035285117105,0.1562682967633009
12,12.0,0.4806702259087181,0.14734960954951595,0.027784049825847774,0.003709940778207965,0.17325323447585106
13,13.0,0.468853469108901,0.1545071285435791,0.031536214834184076,0.004617013692040928,0.19063630141317844
14,14.0,0.45710264435943126,0.16128646398278426,0.03546324357214632,0.0056614740315126255,0.20840307511389256
15,15.0,0.44543587892290115,0.16767648563104223,0.03954872986126008,0.006852731297840364,0.22653784044086933
16,16.0,0.4338707682767129,0.1736681610563631,0.04377502560439768,0.008199870775570162,0.24502352625131607
17,17.0,0.4224244208165622,0.17925453095080804,0.048123309237987424,0.009711564591270871,0.2638415452092886
18,18.0,0.41111338055666447,0.18443074172677945,0.05257371844548049,0.011395984634873457,0.28297183476388454
19,19.0,0.3999535554179168,0.18919406693744015,0.05710548752743068,0.013260715830256231,0.30239289067685604
20,20.0,0.3889600467958665,0.19354395151453566,0.061697147170186664,0.01531268069811631,0.3220819905400276
21,21.0,0.37814707039829254,0.1974819866226847,0.06632670651945534,0.017558062405441888,0.34201529063284397
22,22.0,0.3675278090962386,0.20101188823896002,0.07097188228565517,0.020002246557851322,0.3621680960059166
23,23.0,0.3571143197917557,0.20413942241425168,0.07561031853604379,0.022649765902315266,0.38251505978405476
24,24.0,0.346917489645741,0.20687228513265501,0.08021979857060375,0.025504253528197296,0.40303034521639347
25,25.0,0.3369469550528741,0.20921998263651978,0.08477847449305716,0.028568414694746025,0.42368787713348866
26,26.0,0.3272110876717782,0.21119367030764472,0.08926506977352562,0.031843999357079156,0.4444615077227354
27,27.0,0.317716973004601,0.21280596686842393,0.09365909019309344,0.035331797509570606,0.4653252400457859
28,28.0,0.30847046441372394,0.21407076753525536,0.0979409742524034,0.03903162195638288,0.48625328205525875
29,29.0,0.29947616635795593,0.2150030445990945,0.10209228502410712,0.04294233206019271,0.5072203129529953
30,30.0,0.2907375331127262,0.21561864253448795,0.10609582563686433,0.04706182699010242,0.5282014757394791
31,31.0,0.28225691440489054,0.21593407532049816,0.10993576523672106,0.051387073428486474,0.5491725262254477
32,32.0,0.27403558614637613,0.21596634273732554,0.1135977579635686,0.05591414165974129,0.5701099839061499
33,33.0,0.2660738528796649,0.21573274351971697,0.11706900348711076,0.06063822838768829,0.590991135686636
34,34.0,0.25837111157338977,0.21525070469210397,0.12033831313076677,0.06555369911075104,0.61179412715137
35,35.0,0.25092593171607613,0.21453761730658363,0.12339614805589678,0.07065413189411629,0.6324980072677135
36,36.0,0.2437361191117382,0.21361069825793158,0.12623464487317265,0.0759323662641691,0.6530827842652798
37,37.0,0.23679879504229784,0.21248685687164318,0.12884761960069896,0.08138055675954092,0.673529464751482
38,38.0,0.23011046658243894,0.2111825833780552,0.13123055253002108,0.08699022601649631,0.6938200630247593
39,39.0,0.22366708899821997,0.20971386066953193,0.13338055306869806,0.09275232577056158,0.7139376420527697
40,40.0,0.21746411836679935,0.20809607186669957,0.1352963299379802,0.09865730810270179,0.7338663544505835
41,41.0,0.2114965870135641,0.2063439439734305,0.136978120625124,0.1046951766620623,0.7535914126783609
42,42.0,0.20575914169635534,0.2044714901348437,0.13842762793704183,0.11085556862235535,0.773099148645997
43,43.0,0.2002461083323872,0.20249198030064355,0.13964793012767346,0.117127809629892,0.7923769671469927
44,44.0,0.19495153903003692,0.20041791095713626,0.14064338986120434,0.12350098830938805,0.8114133533090353
45,45.0,0.1898692516700542,0.1982610018676008,0.14141955310535864,0.1299640214565443,0.8301978688687086
