Epoch 0 	 loss_c_data: 1.8329e+01 	 loss_c_ode: 1.1751e-03
Epoch 1000 	 loss_c_data: 1.8483e-03 	 loss_c_ode: 9.5889e-06
Epoch 2000 	 loss_c_data: 1.6104e-03 	 loss_c_ode: 8.9019e-06
Epoch 3000 	 loss_c_data: 1.5059e-03 	 loss_c_ode: 7.1409e-06
Epoch 4000 	 loss_c_data: 1.4677e-03 	 loss_c_ode: 5.7381e-06
Epoch 5000 	 loss_c_data: 1.4293e-03 	 loss_c_ode: 4.8740e-06
Epoch 6000 	 loss_c_data: 1.3840e-03 	 loss_c_ode: 3.5062e-06
Epoch 7000 	 loss_c_data: 1.3600e-03 	 loss_c_ode: 3.2069e-06
Epoch 8000 	 loss_c_data: 1.3524e-03 	 loss_c_ode: 2.8362e-06
Epoch 9000 	 loss_c_data: 1.3428e-03 	 loss_c_ode: 2.6615e-06
Epoch 10000 	 loss_c_data: 1.3319e-03 	 loss_c_ode: 2.5902e-06
Epoch 11000 	 loss_c_data: 1.3233e-03 	 loss_c_ode: 2.5728e-06
Epoch 12000 	 loss_c_data: 1.3178e-03 	 loss_c_ode: 2.5983e-06
Epoch 13000 	 loss_c_data: 1.3149e-03 	 loss_c_ode: 2.5728e-06
Epoch 14000 	 loss_c_data: 1.3134e-03 	 loss_c_ode: 2.5044e-06
Epoch 15000 	 loss_c_data: 1.3125e-03 	 loss_c_ode: 2.4239e-06
Epoch 16000 	 loss_c_data: 1.3120e-03 	 loss_c_ode: 2.3391e-06
Epoch 17000 	 loss_c_data: 1.3117e-03 	 loss_c_ode: 2.2692e-06
Epoch 18000 	 loss_c_data: 1.3115e-03 	 loss_c_ode: 2.2081e-06
Epoch 19000 	 loss_c_data: 1.3116e-03 	 loss_c_ode: 2.1549e-06
Epoch 20000 	 loss_c_data: 1.3113e-03 	 loss_c_ode: 2.1080e-06
Epoch 21000 	 loss_c_data: 1.3112e-03 	 loss_c_ode: 2.0655e-06
Epoch 22000 	 loss_c_data: 1.3131e-03 	 loss_c_ode: 2.0286e-06
Epoch 23000 	 loss_c_data: 1.3113e-03 	 loss_c_ode: 1.9902e-06
Epoch 24000 	 loss_c_data: 1.3111e-03 	 loss_c_ode: 1.9626e-06
Epoch 25000 	 loss_c_data: 1.3110e-03 	 loss_c_ode: 1.9341e-06
Epoch 26000 	 loss_c_data: 1.3134e-03 	 loss_c_ode: 1.5555e-06
Epoch 27000 	 loss_c_data: 1.3130e-03 	 loss_c_ode: 1.4755e-06
Epoch 28000 	 loss_c_data: 1.3134e-03 	 loss_c_ode: 1.4396e-06
Epoch 29000 	 loss_c_data: 1.3127e-03 	 loss_c_ode: 1.4081e-06
Epoch 30000 	 loss_c_data: 1.3125e-03 	 loss_c_ode: 1.3876e-06
Epoch 31000 	 loss_c_data: 1.3125e-03 	 loss_c_ode: 1.3694e-06
Epoch 32000 	 loss_c_data: 1.3123e-03 	 loss_c_ode: 1.3549e-06
Epoch 33000 	 loss_c_data: 1.3122e-03 	 loss_c_ode: 1.3403e-06
Epoch 34000 	 loss_c_data: 1.3140e-03 	 loss_c_ode: 1.3206e-06
Epoch 35000 	 loss_c_data: 1.3120e-03 	 loss_c_ode: 1.3196e-06
Epoch 36000 	 loss_c_data: 1.3119e-03 	 loss_c_ode: 1.3127e-06
Epoch 37000 	 loss_c_data: 1.3129e-03 	 loss_c_ode: 1.3122e-06
Epoch 38000 	 loss_c_data: 1.3118e-03 	 loss_c_ode: 1.2952e-06
Epoch 39000 	 loss_c_data: 1.3117e-03 	 loss_c_ode: 1.2886e-06
Epoch 40000 	 loss_c_data: 1.3117e-03 	 loss_c_ode: 1.2818e-06
Epoch 41000 	 loss_c_data: 1.3117e-03 	 loss_c_ode: 1.2748e-06
Epoch 42000 	 loss_c_data: 1.3134e-03 	 loss_c_ode: 1.2709e-06
Epoch 43000 	 loss_c_data: 1.3116e-03 	 loss_c_ode: 1.2631e-06
Epoch 44000 	 loss_c_data: 1.3212e-03 	 loss_c_ode: 1.3104e-06
Epoch 45000 	 loss_c_data: 1.3115e-03 	 loss_c_ode: 1.2533e-06
Epoch 46000 	 loss_c_data: 1.3121e-03 	 loss_c_ode: 1.2568e-06
Epoch 47000 	 loss_c_data: 1.3120e-03 	 loss_c_ode: 1.2411e-06
Epoch 48000 	 loss_c_data: 1.3115e-03 	 loss_c_ode: 1.2383e-06
Epoch 49000 	 loss_c_data: 1.3117e-03 	 loss_c_ode: 1.2371e-06
Epoch 50000 	 loss_c_data: 1.3114e-03 	 loss_c_ode: 1.2306e-06
Epoch 51000 	 loss_c_data: 1.3208e-03 	 loss_c_ode: 1.1132e-06
Epoch 52000 	 loss_c_data: 1.3217e-03 	 loss_c_ode: 1.0976e-06
Epoch 53000 	 loss_c_data: 1.3256e-03 	 loss_c_ode: 1.0821e-06
Epoch 54000 	 loss_c_data: 1.3220e-03 	 loss_c_ode: 1.0816e-06
Epoch 55000 	 loss_c_data: 1.3232e-03 	 loss_c_ode: 1.0959e-06
Epoch 56000 	 loss_c_data: 1.3218e-03 	 loss_c_ode: 1.0739e-06
Epoch 57000 	 loss_c_data: 1.3220e-03 	 loss_c_ode: 1.0699e-06
Epoch 58000 	 loss_c_data: 1.3215e-03 	 loss_c_ode: 1.0692e-06
Epoch 59000 	 loss_c_data: 1.3223e-03 	 loss_c_ode: 1.0649e-06
Epoch 60000 	 loss_c_data: 1.3212e-03 	 loss_c_ode: 1.0741e-06
Epoch 61000 	 loss_c_data: 1.3214e-03 	 loss_c_ode: 1.0624e-06
Epoch 62000 	 loss_c_data: 1.3210e-03 	 loss_c_ode: 1.0623e-06
Epoch 63000 	 loss_c_data: 1.3237e-03 	 loss_c_ode: 1.0582e-06
Epoch 64000 	 loss_c_data: 1.3210e-03 	 loss_c_ode: 1.0579e-06
Epoch 65000 	 loss_c_data: 1.3211e-03 	 loss_c_ode: 1.0690e-06
Epoch 66000 	 loss_c_data: 1.3374e-03 	 loss_c_ode: 1.1882e-06
Epoch 67000 	 loss_c_data: 1.3206e-03 	 loss_c_ode: 1.0545e-06
Epoch 68000 	 loss_c_data: 1.3210e-03 	 loss_c_ode: 1.0510e-06
Epoch 69000 	 loss_c_data: 1.3205e-03 	 loss_c_ode: 1.0514e-06
Epoch 70000 	 loss_c_data: 1.3244e-03 	 loss_c_ode: 1.0410e-06
Epoch 71000 	 loss_c_data: 1.3210e-03 	 loss_c_ode: 1.0466e-06
Epoch 72000 	 loss_c_data: 1.3206e-03 	 loss_c_ode: 1.0722e-06
Epoch 73000 	 loss_c_data: 1.3207e-03 	 loss_c_ode: 1.0463e-06
Epoch 74000 	 loss_c_data: 1.3204e-03 	 loss_c_ode: 1.0440e-06
Epoch 75000 	 loss_c_data: 1.3203e-03 	 loss_c_ode: 1.0435e-06
Epoch 76000 	 loss_c_data: 1.6154e-03 	 loss_c_ode: 7.3133e-07
Epoch 77000 	 loss_c_data: 1.6224e-03 	 loss_c_ode: 7.2122e-07
Epoch 78000 	 loss_c_data: 1.4858e-03 	 loss_c_ode: 1.4311e-07
Epoch 79000 	 loss_c_data: 1.4398e-03 	 loss_c_ode: 6.9569e-08
Epoch 80000 	 loss_c_data: 1.4297e-03 	 loss_c_ode: 4.6775e-08
Epoch 81000 	 loss_c_data: 1.4265e-03 	 loss_c_ode: 3.9818e-08
Epoch 82000 	 loss_c_data: 1.4235e-03 	 loss_c_ode: 3.6179e-08
Epoch 83000 	 loss_c_data: 1.4212e-03 	 loss_c_ode: 1.3372e-07
Epoch 84000 	 loss_c_data: 1.4199e-03 	 loss_c_ode: 3.1601e-08
Epoch 85000 	 loss_c_data: 1.4243e-03 	 loss_c_ode: 4.3415e-08
Epoch 86000 	 loss_c_data: 1.4174e-03 	 loss_c_ode: 2.9124e-08
Epoch 87000 	 loss_c_data: 1.4167e-03 	 loss_c_ode: 2.8225e-08
Epoch 88000 	 loss_c_data: 1.4160e-03 	 loss_c_ode: 3.4809e-08
Epoch 89000 	 loss_c_data: 1.4144e-03 	 loss_c_ode: 2.7050e-08
Epoch 90000 	 loss_c_data: 1.4134e-03 	 loss_c_ode: 2.7961e-08
Epoch 91000 	 loss_c_data: 1.4136e-03 	 loss_c_ode: 2.6101e-08
Epoch 92000 	 loss_c_data: 1.4128e-03 	 loss_c_ode: 2.5786e-08
Epoch 93000 	 loss_c_data: 1.4110e-03 	 loss_c_ode: 2.6031e-08
Epoch 94000 	 loss_c_data: 1.4106e-03 	 loss_c_ode: 2.5427e-08
Epoch 95000 	 loss_c_data: 1.4107e-03 	 loss_c_ode: 7.1448e-08
