Epoch 0 	 loss_c_data: 1.8329e+01 	 loss_c_ode: 2.0556e-03
Epoch 1000 	 loss_c_data: 1.8482e-03 	 loss_c_ode: 9.4007e-06
Epoch 2000 	 loss_c_data: 1.6105e-03 	 loss_c_ode: 8.4693e-06
Epoch 3000 	 loss_c_data: 1.5059e-03 	 loss_c_ode: 6.7673e-06
Epoch 4000 	 loss_c_data: 1.4677e-03 	 loss_c_ode: 5.5283e-06
Epoch 5000 	 loss_c_data: 1.4306e-03 	 loss_c_ode: 4.7616e-06
Epoch 6000 	 loss_c_data: 1.4032e-03 	 loss_c_ode: 3.1226e-06
Epoch 7000 	 loss_c_data: 1.3816e-03 	 loss_c_ode: 3.0228e-06
Epoch 8000 	 loss_c_data: 1.3672e-03 	 loss_c_ode: 2.9223e-06
Epoch 9000 	 loss_c_data: 1.3514e-03 	 loss_c_ode: 2.7191e-06
Epoch 10000 	 loss_c_data: 1.3392e-03 	 loss_c_ode: 2.5055e-06
Epoch 11000 	 loss_c_data: 1.3289e-03 	 loss_c_ode: 2.4801e-06
Epoch 12000 	 loss_c_data: 1.3540e-03 	 loss_c_ode: 2.5168e-06
Epoch 13000 	 loss_c_data: 1.3184e-03 	 loss_c_ode: 2.5016e-06
Epoch 14000 	 loss_c_data: 1.3161e-03 	 loss_c_ode: 2.4237e-06
Epoch 15000 	 loss_c_data: 1.3148e-03 	 loss_c_ode: 2.3310e-06
Epoch 16000 	 loss_c_data: 1.3137e-03 	 loss_c_ode: 2.2266e-06
Epoch 17000 	 loss_c_data: 1.3130e-03 	 loss_c_ode: 2.1200e-06
Epoch 18000 	 loss_c_data: 1.3127e-03 	 loss_c_ode: 2.0162e-06
Epoch 19000 	 loss_c_data: 1.3320e-03 	 loss_c_ode: 1.9748e-06
Epoch 20000 	 loss_c_data: 1.3121e-03 	 loss_c_ode: 1.8453e-06
Epoch 21000 	 loss_c_data: 1.3119e-03 	 loss_c_ode: 1.7710e-06
Epoch 22000 	 loss_c_data: 1.3118e-03 	 loss_c_ode: 1.7032e-06
Epoch 23000 	 loss_c_data: 1.3117e-03 	 loss_c_ode: 1.6487e-06
Epoch 24000 	 loss_c_data: 1.3125e-03 	 loss_c_ode: 1.6030e-06
Epoch 25000 	 loss_c_data: 1.3116e-03 	 loss_c_ode: 1.5541e-06
Epoch 26000 	 loss_c_data: 1.3139e-03 	 loss_c_ode: 1.0391e-06
Epoch 27000 	 loss_c_data: 1.3140e-03 	 loss_c_ode: 8.9664e-07
Epoch 28000 	 loss_c_data: 1.3141e-03 	 loss_c_ode: 8.0194e-07
Epoch 29000 	 loss_c_data: 1.3149e-03 	 loss_c_ode: 7.3501e-07
Epoch 30000 	 loss_c_data: 1.3136e-03 	 loss_c_ode: 6.8389e-07
Epoch 31000 	 loss_c_data: 1.3137e-03 	 loss_c_ode: 6.4509e-07
Epoch 32000 	 loss_c_data: 1.3132e-03 	 loss_c_ode: 6.1428e-07
Epoch 33000 	 loss_c_data: 1.3130e-03 	 loss_c_ode: 5.9024e-07
Epoch 34000 	 loss_c_data: 1.3148e-03 	 loss_c_ode: 5.7630e-07
Epoch 35000 	 loss_c_data: 1.3151e-03 	 loss_c_ode: 5.6253e-07
Epoch 36000 	 loss_c_data: 1.3136e-03 	 loss_c_ode: 5.3912e-07
Epoch 37000 	 loss_c_data: 1.3131e-03 	 loss_c_ode: 5.2632e-07
Epoch 38000 	 loss_c_data: 1.3134e-03 	 loss_c_ode: 5.1734e-07
Epoch 39000 	 loss_c_data: 1.3127e-03 	 loss_c_ode: 5.0556e-07
Epoch 40000 	 loss_c_data: 1.3125e-03 	 loss_c_ode: 4.9759e-07
Epoch 41000 	 loss_c_data: 1.3124e-03 	 loss_c_ode: 4.9240e-07
Epoch 42000 	 loss_c_data: 1.3339e-03 	 loss_c_ode: 5.2778e-07
Epoch 43000 	 loss_c_data: 1.3123e-03 	 loss_c_ode: 4.8081e-07
Epoch 44000 	 loss_c_data: 1.3122e-03 	 loss_c_ode: 4.7584e-07
Epoch 45000 	 loss_c_data: 1.3131e-03 	 loss_c_ode: 4.7109e-07
Epoch 46000 	 loss_c_data: 1.3146e-03 	 loss_c_ode: 4.6660e-07
Epoch 47000 	 loss_c_data: 1.3121e-03 	 loss_c_ode: 4.6243e-07
Epoch 48000 	 loss_c_data: 1.3127e-03 	 loss_c_ode: 4.6283e-07
Epoch 49000 	 loss_c_data: 1.3121e-03 	 loss_c_ode: 4.5496e-07
Epoch 50000 	 loss_c_data: 1.3320e-03 	 loss_c_ode: 5.2169e-07
Epoch 51000 	 loss_c_data: 1.3230e-03 	 loss_c_ode: 3.1341e-07
Epoch 52000 	 loss_c_data: 1.3258e-03 	 loss_c_ode: 2.7099e-07
Epoch 53000 	 loss_c_data: 1.3270e-03 	 loss_c_ode: 2.5268e-07
Epoch 54000 	 loss_c_data: 1.3293e-03 	 loss_c_ode: 2.5269e-07
Epoch 55000 	 loss_c_data: 1.3276e-03 	 loss_c_ode: 2.3669e-07
Epoch 56000 	 loss_c_data: 1.3332e-03 	 loss_c_ode: 2.5991e-07
Epoch 57000 	 loss_c_data: 1.3274e-03 	 loss_c_ode: 2.2774e-07
Epoch 58000 	 loss_c_data: 1.3703e-03 	 loss_c_ode: 3.8101e-07
Epoch 59000 	 loss_c_data: 1.3271e-03 	 loss_c_ode: 2.2125e-07
Epoch 60000 	 loss_c_data: 1.3305e-03 	 loss_c_ode: 2.2848e-07
Epoch 61000 	 loss_c_data: 1.3268e-03 	 loss_c_ode: 2.1550e-07
Epoch 62000 	 loss_c_data: 1.3267e-03 	 loss_c_ode: 2.1245e-07
Epoch 63000 	 loss_c_data: 1.3265e-03 	 loss_c_ode: 2.1008e-07
Epoch 64000 	 loss_c_data: 1.3265e-03 	 loss_c_ode: 2.0720e-07
Epoch 65000 	 loss_c_data: 1.3401e-03 	 loss_c_ode: 5.1568e-07
Epoch 66000 	 loss_c_data: 1.3270e-03 	 loss_c_ode: 2.0648e-07
Epoch 67000 	 loss_c_data: 1.3262e-03 	 loss_c_ode: 2.0125e-07
Epoch 68000 	 loss_c_data: 1.3260e-03 	 loss_c_ode: 1.9747e-07
Epoch 69000 	 loss_c_data: 1.3259e-03 	 loss_c_ode: 1.9522e-07
Epoch 70000 	 loss_c_data: 1.3258e-03 	 loss_c_ode: 1.9286e-07
Epoch 71000 	 loss_c_data: 1.3257e-03 	 loss_c_ode: 1.9040e-07
Epoch 72000 	 loss_c_data: 1.3257e-03 	 loss_c_ode: 1.8973e-07
Epoch 73000 	 loss_c_data: 1.3256e-03 	 loss_c_ode: 1.8621e-07
Epoch 74000 	 loss_c_data: 1.3255e-03 	 loss_c_ode: 1.8572e-07
Epoch 75000 	 loss_c_data: 1.3253e-03 	 loss_c_ode: 1.8190e-07
Epoch 76000 	 loss_c_data: 1.4137e-03 	 loss_c_ode: 7.7211e-08
Epoch 77000 	 loss_c_data: 1.4103e-03 	 loss_c_ode: 5.4837e-08
Epoch 78000 	 loss_c_data: 1.4123e-03 	 loss_c_ode: 4.7986e-08
Epoch 79000 	 loss_c_data: 1.4135e-03 	 loss_c_ode: 4.4513e-08
Epoch 80000 	 loss_c_data: 1.4143e-03 	 loss_c_ode: 4.1580e-08
Epoch 81000 	 loss_c_data: 1.4152e-03 	 loss_c_ode: 3.9918e-08
Epoch 82000 	 loss_c_data: 1.4150e-03 	 loss_c_ode: 3.8047e-08
Epoch 83000 	 loss_c_data: 1.4148e-03 	 loss_c_ode: 3.6452e-08
Epoch 84000 	 loss_c_data: 1.4144e-03 	 loss_c_ode: 3.5360e-08
Epoch 85000 	 loss_c_data: 1.4141e-03 	 loss_c_ode: 3.5748e-08
Epoch 86000 	 loss_c_data: 1.4139e-03 	 loss_c_ode: 3.3325e-08
Epoch 87000 	 loss_c_data: 1.4754e-03 	 loss_c_ode: 7.5417e-08
Epoch 88000 	 loss_c_data: 1.4196e-03 	 loss_c_ode: 3.4065e-08
Epoch 89000 	 loss_c_data: 1.4121e-03 	 loss_c_ode: 3.1564e-08
Epoch 90000 	 loss_c_data: 1.4108e-03 	 loss_c_ode: 3.0699e-08
Epoch 91000 	 loss_c_data: 1.4102e-03 	 loss_c_ode: 3.0151e-08
Epoch 92000 	 loss_c_data: 1.4089e-03 	 loss_c_ode: 2.9645e-08
Epoch 93000 	 loss_c_data: 1.4075e-03 	 loss_c_ode: 2.9223e-08
Epoch 94000 	 loss_c_data: 1.4145e-03 	 loss_c_ode: 3.4404e-08
Epoch 95000 	 loss_c_data: 1.4052e-03 	 loss_c_ode: 2.9049e-08
Epoch 96000 	 loss_c_data: 1.4039e-03 	 loss_c_ode: 2.8727e-08
Epoch 97000 	 loss_c_data: 1.4027e-03 	 loss_c_ode: 3.3799e-08
Epoch 98000 	 loss_c_data: 1.4028e-03 	 loss_c_ode: 2.8506e-08
Epoch 99000 	 loss_c_data: 1.4156e-03 	 loss_c_ode: 4.4324e-08
Epoch 100000 	 loss_c_data: 1.4051e-03 	 loss_c_ode: 2.9986e-08
Epoch 101000 	 loss_c_data: 1.3994e-03 	 loss_c_ode: 2.7801e-08
Epoch 102000 	 loss_c_data: 1.3973e-03 	 loss_c_ode: 2.7511e-08
Epoch 103000 	 loss_c_data: 1.3956e-03 	 loss_c_ode: 2.7222e-08
Epoch 104000 	 loss_c_data: 1.3943e-03 	 loss_c_ode: 2.6889e-08
