Epoch 0 	 loss_c_data: 1.8329e+01 	 loss_c_ode: 1.7405e-01
Epoch 1000 	 loss_c_data: 1.8833e-03 	 loss_c_ode: 1.6446e-04
Epoch 2000 	 loss_c_data: 1.6266e-03 	 loss_c_ode: 7.1410e-05
Epoch 3000 	 loss_c_data: 1.5093e-03 	 loss_c_ode: 4.4614e-05
Epoch 4000 	 loss_c_data: 1.4667e-03 	 loss_c_ode: 2.5641e-05
Epoch 5000 	 loss_c_data: 1.4061e-03 	 loss_c_ode: 1.6085e-05
Epoch 6000 	 loss_c_data: 1.3814e-03 	 loss_c_ode: 8.6068e-06
Epoch 7000 	 loss_c_data: 1.3612e-03 	 loss_c_ode: 6.9527e-06
Epoch 8000 	 loss_c_data: 1.3539e-03 	 loss_c_ode: 6.0695e-06
Epoch 9000 	 loss_c_data: 1.3440e-03 	 loss_c_ode: 5.4855e-06
Epoch 10000 	 loss_c_data: 1.3352e-03 	 loss_c_ode: 5.0685e-06
Epoch 11000 	 loss_c_data: 1.3267e-03 	 loss_c_ode: 4.7948e-06
Epoch 12000 	 loss_c_data: 1.3213e-03 	 loss_c_ode: 4.5782e-06
Epoch 13000 	 loss_c_data: 1.3173e-03 	 loss_c_ode: 4.4513e-06
Epoch 14000 	 loss_c_data: 1.3155e-03 	 loss_c_ode: 4.2895e-06
Epoch 15000 	 loss_c_data: 1.3144e-03 	 loss_c_ode: 4.1345e-06
Epoch 16000 	 loss_c_data: 1.3137e-03 	 loss_c_ode: 3.9797e-06
Epoch 17000 	 loss_c_data: 1.3146e-03 	 loss_c_ode: 3.8276e-06
Epoch 18000 	 loss_c_data: 1.3129e-03 	 loss_c_ode: 3.7222e-06
Epoch 19000 	 loss_c_data: 1.3126e-03 	 loss_c_ode: 3.6029e-06
Epoch 20000 	 loss_c_data: 1.3124e-03 	 loss_c_ode: 3.5063e-06
Epoch 21000 	 loss_c_data: 1.3122e-03 	 loss_c_ode: 3.4039e-06
Epoch 22000 	 loss_c_data: 1.3121e-03 	 loss_c_ode: 3.3196e-06
Epoch 23000 	 loss_c_data: 1.3119e-03 	 loss_c_ode: 3.2435e-06
Epoch 24000 	 loss_c_data: 1.3118e-03 	 loss_c_ode: 3.1717e-06
Epoch 25000 	 loss_c_data: 1.3118e-03 	 loss_c_ode: 3.1065e-06
Epoch 26000 	 loss_c_data: 1.3174e-03 	 loss_c_ode: 2.1663e-06
Epoch 27000 	 loss_c_data: 1.3175e-03 	 loss_c_ode: 1.9511e-06
Epoch 28000 	 loss_c_data: 1.3357e-03 	 loss_c_ode: 1.8845e-06
Epoch 29000 	 loss_c_data: 1.3169e-03 	 loss_c_ode: 1.7109e-06
Epoch 30000 	 loss_c_data: 1.3165e-03 	 loss_c_ode: 1.6237e-06
Epoch 31000 	 loss_c_data: 1.3162e-03 	 loss_c_ode: 1.5483e-06
Epoch 32000 	 loss_c_data: 1.3159e-03 	 loss_c_ode: 1.4828e-06
Epoch 33000 	 loss_c_data: 1.3196e-03 	 loss_c_ode: 1.4983e-06
Epoch 34000 	 loss_c_data: 1.3153e-03 	 loss_c_ode: 1.3771e-06
Epoch 35000 	 loss_c_data: 1.3685e-03 	 loss_c_ode: 1.6014e-06
Epoch 36000 	 loss_c_data: 1.3158e-03 	 loss_c_ode: 1.2825e-06
Epoch 37000 	 loss_c_data: 1.3351e-03 	 loss_c_ode: 1.4213e-06
Epoch 38000 	 loss_c_data: 1.3146e-03 	 loss_c_ode: 1.2131e-06
Epoch 39000 	 loss_c_data: 1.3146e-03 	 loss_c_ode: 1.1778e-06
Epoch 40000 	 loss_c_data: 1.3143e-03 	 loss_c_ode: 1.1477e-06
