,t,Q,TG,DG,MG,G,ME
0,0.0,6.0,0.6210698,0.041213565,0.0015913043,0.00012730062,0.00013914704
1,1.0,6.0,0.6129058,0.04860712,0.0024364237,0.00019204617,0.00928098
2,2.0,6.0,0.6043921,0.05614777,0.003434563,0.00027690455,0.018972613
3,3.0,6.0,0.59555805,0.063800454,0.0045988616,0.00038710982,0.029209845
4,4.0,6.0,0.58643377,0.071527675,0.005939314,0.00052848086,0.03998375
5,5.0,6.0,0.5770495,0.07929102,0.0074632373,0.00070716813,0.051281847
6,6.0,6.0,0.5674355,0.08705238,0.009175623,0.00092988834,0.063090116
7,7.0,6.0,0.55762064,0.0947744,0.011078814,0.0012036897,0.07539336
8,8.0,6.0,0.54763275,0.102421515,0.013173351,0.0015361384,0.088177145
9,9.0,6.0,0.5374978,0.109960295,0.015457919,0.0019350499,0.10142784
10,10.0,6.0,0.52724034,0.117359854,0.01792982,0.002408594,0.11513294
11,11.0,6.0,0.51688325,0.12459209,0.020585058,0.0029646344,0.12928082
12,12.0,6.0,0.50644815,0.1316315,0.02341845,0.003611479,0.14386107
13,13.0,6.0,0.49595502,0.13845523,0.026423706,0.0043569356,0.15886366
14,14.0,6.0,0.48542324,0.14504331,0.029593756,0.005208889,0.17427886
15,15.0,6.0,0.47487122,0.15137807,0.032920122,0.006175002,0.19009635
16,16.0,6.0,0.464317,0.15744428,0.036393747,0.0072626267,0.20630558
17,17.0,6.0,0.45377752,0.16322884,0.040003955,0.008478932,0.22289464
18,18.0,6.0,0.44326976,0.16872081,0.043739274,0.009830989,0.2398506
19,19.0,6.0,0.43281052,0.17391104,0.047586992,0.011325648,0.25715917
20,20.0,6.0,0.42241547,0.17879213,0.05153328,0.012969671,0.27480483
21,21.0,6.0,0.41210058,0.18335839,0.05556315,0.014769364,0.29277027
22,22.0,6.0,0.40188104,0.18760553,0.05966083,0.01673107,0.3110372
23,23.0,6.0,0.39177117,0.19153066,0.06380954,0.018860739,0.32958618
24,24.0,6.0,0.38178524,0.1951324,0.067992225,0.021163713,0.3483964
25,25.0,6.0,0.37193614,0.19841045,0.07219104,0.023645222,0.3674466
26,26.0,6.0,0.36223596,0.20136604,0.07638831,0.026309604,0.38671476
27,27.0,6.0,0.35269615,0.20400137,0.08056607,0.02916044,0.40617776
28,28.0,6.0,0.34332657,0.20631993,0.08470656,0.032200668,0.42581275
29,29.0,6.0,0.33413622,0.20832661,0.088792585,0.035432372,0.445596
30,30.0,6.0,0.3251332,0.2100274,0.09280754,0.038856614,0.46550456
31,31.0,6.0,0.31632423,0.21142924,0.09673516,0.04247353,0.48551437
32,32.0,6.0,0.3077155,0.21254058,0.10056027,0.046282493,0.50560236
33,33.0,6.0,0.29931182,0.21337076,0.10426871,0.05028192,0.52574587
34,34.0,6.0,0.29111758,0.21392989,0.10784688,0.05446943,0.5459218
35,35.0,6.0,0.28313616,0.21422938,0.11128245,0.058842037,0.56610847
36,36.0,6.0,0.2753705,0.21428105,0.11456404,0.06339567,0.5862838
37,37.0,6.0,0.26782283,0.21409753,0.11768149,0.06812602,0.60642743
38,38.0,6.0,0.26049483,0.21369201,0.1206257,0.07302822,0.6265192
39,39.0,6.0,0.2533876,0.21307784,0.12338868,0.07809661,0.6465399
40,40.0,6.0,0.24650177,0.21226877,0.12596364,0.083325155,0.6664705
41,41.0,6.0,0.2398374,0.21127851,0.12834509,0.08870737,0.68629384
42,42.0,6.0,0.23339374,0.21012072,0.13052851,0.094236165,0.70599246
43,43.0,6.0,0.22716975,0.20880878,0.13251078,0.09990421,0.72555065
44,44.0,6.0,0.22116338,0.20735589,0.13429001,0.10570364,0.7449533
45,45.0,6.0,0.21537235,0.20577477,0.13586546,0.11162597,0.76418567
46,46.0,6.0,0.20979314,0.20407747,0.13723741,0.117662504,0.78323424
47,47.0,6.0,0.20442213,0.20227572,0.13840757,0.12380421,0.8020866
48,48.0,6.0,0.1992548,0.20038065,0.13937867,0.13004161,0.8207307
49,49.0,6.0,0.19428591,0.19840243,0.14015426,0.13636482,0.8391552
50,50.0,6.0,0.18951003,0.19635095,0.14073904,0.14276412,0.85735023
51,51.0,6.0,0.18492128,0.19423543,0.1411388,0.14922918,0.87530684
52,52.0,6.0,0.18051307,0.19206406,0.1413596,0.15574992,0.89301574
53,53.0,6.0,0.176279,0.18984497,0.14140874,0.16231583,0.9104693
54,54.0,6.0,0.17221211,0.18758518,0.14129382,0.16891685,0.9276612
55,55.0,6.0,0.16830571,0.18529163,0.14102311,0.17554286,0.9445851
56,56.0,6.0,0.16455281,0.1829704,0.14060524,0.18218382,0.9612361
