,Time,Temperature
0,0.0,33.36341
1,1.0,33.518402
2,2.0,33.672283
3,3.0,33.825184
4,4.0,33.977245
5,5.0,34.128567
6,6.0,34.279247
7,7.0,34.42937
8,8.0,34.57901
9,9.0,34.728214
10,10.0,34.877045
11,11.0,35.025528
12,12.0,35.17371
13,13.0,35.32159
14,14.0,35.469185
15,15.0,35.61651
16,16.0,35.76355
17,17.0,35.910313
18,18.0,36.056774
19,19.0,36.20293
20,20.0,36.34877
21,21.0,36.494247
22,22.0,36.63937
23,23.0,36.7841
24,24.0,36.928413
25,25.0,37.072304
26,26.0,37.21574
27,27.0,37.358704
28,28.0,37.50119
29,29.0,37.643166
30,30.0,37.784645
31,31.0,37.9256
32,32.0,38.06604
33,33.0,38.20597
34,34.0,38.345387
35,35.0,38.48431
36,36.0,38.62276
37,37.0,38.76074
38,38.0,38.898277
39,39.0,39.035416
40,40.0,39.172173
41,41.0,39.30858
42,42.0,39.44468
43,43.0,39.580513
44,44.0,39.71611
45,45.0,39.85152
46,46.0,39.986786
47,47.0,40.121937
48,48.0,40.257027
49,49.0,40.392097
50,50.0,40.527172
51,51.0,40.66231
52,52.0,40.797535
53,53.0,40.93288
54,54.0,41.06837
55,55.0,41.204052
56,56.0,41.339935
57,57.0,41.47604
58,58.0,41.6124
59,59.0,41.749012
60,60.0,41.885902
61,61.0,42.023064
62,62.0,42.16051
63,63.0,42.298233
64,64.0,42.43623
65,65.0,42.57449
66,66.0,42.713013
67,67.0,42.85177
68,68.0,42.990753
69,69.0,43.129932
70,70.0,43.269283
71,71.0,43.408794
72,72.0,43.548424
73,73.0,43.68814
74,74.0,43.82792
75,75.0,43.96773
76,76.0,44.10754
77,77.0,44.24731
78,78.0,44.38701
79,79.0,44.526596
80,80.0,44.666054
81,81.0,44.80534
82,82.0,44.94443
83,83.0,45.083286
84,84.0,45.221886
85,85.0,45.360203
86,86.0,45.498203
87,87.0,45.635868
88,88.0,45.77318
89,89.0,45.91012
90,90.0,46.04666
91,91.0,46.182796
92,92.0,46.318512
93,93.0,46.45379
94,94.0,46.588623
95,95.0,46.723
96,96.0,46.856922
97,97.0,46.99038
98,98.0,47.123375
99,99.0,47.255898
100,100.0,47.387955
101,101.0,47.51954
102,102.0,47.65066
103,103.0,47.78132
104,104.0,47.911514
105,105.0,48.041264
106,106.0,48.17056
107,107.0,48.29941
108,108.0,48.427837
109,109.0,48.55584
110,110.0,48.683414
111,111.0,48.810577
112,112.0,48.93734
113,113.0,49.0637
114,114.0,49.189686
115,115.0,49.31528
116,116.0,49.44051
117,117.0,49.565372
118,118.0,49.689888
119,119.0,49.814045
120,120.0,49.937862
121,121.0,50.061348
122,122.0,50.184505
123,123.0,50.307346
124,124.0,50.42987
125,125.0,50.552086
126,126.0,50.673992
127,127.0,50.795605
128,128.0,50.91692
129,129.0,51.037945
130,130.0,51.15868
131,131.0,51.279144
132,132.0,51.399315
133,133.0,51.519203
134,134.0,51.63883
135,135.0,51.75817
136,136.0,51.877247
137,137.0,51.996044
138,138.0,52.114582
139,139.0,52.23285
140,140.0,52.35085
141,141.0,52.468575
142,142.0,52.58604
143,143.0,52.70323
144,144.0,52.820164
145,145.0,52.93682
146,146.0,53.05321
147,147.0,53.169342
148,148.0,53.2852
149,149.0,53.400784
150,150.0,53.5161
151,151.0,53.631153
152,152.0,53.745934
153,153.0,53.86043
154,154.0,53.974674
155,155.0,54.088634
156,156.0,54.202335
157,157.0,54.315754
158,158.0,54.42891
159,159.0,54.541782
160,160.0,54.65439
161,161.0,54.76672
162,162.0,54.87878
163,163.0,54.990566
164,164.0,55.102093
165,165.0,55.213345
166,166.0,55.32432
167,167.0,55.43503
168,168.0,55.545483
169,169.0,55.65566
170,170.0,55.765583
171,171.0,55.875233
172,172.0,55.98463
173,173.0,56.093765
174,174.0,56.20264
175,175.0,56.311264
176,176.0,56.41964
177,177.0,56.52776
178,178.0,56.635628
179,179.0,56.74325
180,180.0,56.850628
181,181.0,56.957767
182,182.0,57.064655
183,183.0,57.17132
184,184.0,57.277744
185,185.0,57.383934
186,186.0,57.489895
187,187.0,57.59563
188,188.0,57.701145
189,189.0,57.806423
190,190.0,57.911488
191,191.0,58.016323
192,192.0,58.120945
193,193.0,58.225346
194,194.0,58.329533
195,195.0,58.43351
196,196.0,58.537266
197,197.0,58.64081
198,198.0,58.744144
199,199.0,58.84726
200,200.0,58.95017
201,201.0,59.05286
202,202.0,59.155342
203,203.0,59.25761
204,204.0,59.35966
205,205.0,59.461494
206,206.0,59.563114
207,207.0,59.66451
208,208.0,59.765682
209,209.0,59.86663
210,210.0,59.96735
211,211.0,60.067837
212,212.0,60.168087
213,213.0,60.2681
214,214.0,60.36787
215,215.0,60.46739
216,216.0,60.566654
217,217.0,60.66566
218,218.0,60.7644
219,219.0,60.862877
220,220.0,60.961067
221,221.0,61.058983
222,222.0,61.156597
223,223.0,61.253914
224,224.0,61.35093
225,225.0,61.447628
226,226.0,61.54401
227,227.0,61.64006
228,228.0,61.735767
229,229.0,61.831135
230,230.0,61.926144
231,231.0,62.020786
232,232.0,62.11505
233,233.0,62.20893
234,234.0,62.302418
235,235.0,62.395504
236,236.0,62.48818
237,237.0,62.580425
238,238.0,62.67224
239,239.0,62.76362
240,240.0,62.854534
