t,cB,cTG,cDG,cMG,cG
0,0,0.570199408,0.063624505,0,0
60,,0.032627364,0.039033882,0.046380888,
120,,0.029884324,0.037213655,0.047473064,
240,,0.024764475,0.029276519,0.037670225,
360,,0.023494546,0.02842465,0.037300504,
480,,0.019576675,0.021703287,0.029536281,
