t,TG,DG,MG,G,ME
0,0.596600966,0.038550212,0.000380326,,
120,0.093913055,0.11637437,0.108617561,,
240,0.040479139,0.051213409,0.04835939,,
360,0.028790452,0.032531003,0.03305358,,
