t,TG,DG,MG,G,ME
0,0.596600966,0.038550212,0.000380326,,
120,0.058090947,0.067468741,0.061318899,,
240,0.035607272,0.045004122,0.046610608,,
360,0.026827015,0.031076119,0.03296831,,
