Anton Paar Monowave Series;;;;;;;;
Serial Number: 82701239;;;;;;;;
Instrument Software Version: 4.10.10607.14;;;;;;;;
;;;;;;;;
Processing Protocol;;;;;;;;
Experiment Name;vb-8min;;;;;;;
Experiment Date;10/20/2022 11:10:11 AM;;;;;;;
Experiment Unique ID;982;;;;;;;
User;Administrator;;;;;;;
Temperature Control;IR;;;;;;;
Vial Type;Glass vial G30;;;;;;;
;;;;;;;;
Steps;;;;;;;;
Step;Program;Temperature;Time;Power;Cooling;Stirrer Speed;;
;;C;hh:mm:ss;W;;rpm;;
1;Heat to temperature in time;60;00:01:30;850;Off;800;;
2;Hold;-;00:06:30;850;Off;800;;
3;Cool down;60;-;-;On;800;;
;;;;;;;;
Experiment Result;;;;;;;;
Result;OK;;;;;;;
;;;;;;;;
;;;;;;;;
Time;Step Time;Temp IR;Temp Ruby;Pressure;Power;Stirrer Speed;Fan Level;Step No.
hh:mm:ss;hh:mm:ss;C;C;bar;W;rpm;;
00:01:19;00:01:19;61;31;0.0;0;800;Off;1
00:01:20;00:01:20;61;31;0.0;0;800;Off;1
00:01:21;00:01:21;61;31;0.0;0;800;Off;1
00:01:22;00:01:22;61;31;0.0;0;800;Off;1
00:01:23;00:01:23;61;31;0.0;0;800;Off;1
00:01:24;00:01:24;61;31;0.0;0;800;Off;1
00:01:25;00:01:25;61;31;0.0;0;800;Off;1
00:01:26;00:01:26;61;31;0.0;0;800;Off;1
00:01:27;00:01:27;61;31;0.0;0;800;Off;1
00:01:28;00:01:28;61;31;0.0;0;800;Off;1
00:01:29;00:01:29;61;31;0.0;0;800;Off;1
00:01:30;00:01:30;61;31;0.0;0;800;Off;1
00:01:31;00:00:00;61;31;0.0;0;800;Off;2
00:01:32;00:00:01;61;31;0.0;0;800;Off;2
00:01:33;00:00:02;61;31;0.0;0;800;Off;2
00:01:34;00:00:03;60;31;0.0;0;800;Off;2
00:01:35;00:00:04;61;31;0.0;0;800;Off;2
00:01:36;00:00:05;61;31;0.0;0;800;Off;2
00:01:37;00:00:06;61;31;0.0;0;800;Off;2
00:01:38;00:00:07;61;31;0.0;0;800;Off;2
00:01:39;00:00:08;61;31;0.0;0;800;Off;2
00:01:40;00:00:09;60;31;0.0;0;800;Off;2
00:01:41;00:00:10;61;31;0.0;0;800;Off;2
00:01:42;00:00:11;61;31;0.0;0;800;Off;2
00:01:43;00:00:12;60;31;0.0;0;800;Off;2
00:01:44;00:00:13;61;31;0.0;0;800;Off;2
00:01:45;00:00:14;60;31;0.0;0;800;Off;2
00:01:46;00:00:15;60;31;0.0;0;800;Off;2
00:01:47;00:00:16;61;31;0.0;0;800;Off;2
00:01:48;00:00:17;60;31;0.0;0;800;Off;2
00:01:49;00:00:18;60;31;0.0;0;800;Off;2
00:01:50;00:00:19;60;31;0.0;0;800;Off;2
00:01:51;00:00:20;60;31;0.0;0;800;Off;2
00:01:52;00:00:21;60;31;0.0;0;800;Off;2
00:01:53;00:00:22;60;31;0.0;0;800;Off;2
00:01:54;00:00:23;60;31;0.0;0;800;Off;2
00:01:55;00:00:24;60;31;0.0;0;800;Off;2
00:01:56;00:00:25;60;31;0.0;0;800;Off;2
00:01:57;00:00:26;60;31;0.0;0;800;Off;2
00:01:58;00:00:27;60;31;0.0;0;800;Off;2
00:01:59;00:00:28;60;31;0.0;0;800;Off;2
00:02:00;00:00:29;60;31;0.0;0;800;Off;2
00:02:01;00:00:30;60;31;0.0;0;800;Off;2
00:02:02;00:00:31;59;31;0.0;0;800;Off;2
00:02:03;00:00:32;60;31;0.0;0;800;Off;2
00:02:04;00:00:33;60;31;0.0;0;800;Off;2
00:02:05;00:00:34;60;31;0.0;1;800;Off;2
00:02:06;00:00:35;60;31;0.0;1;800;Off;2
00:02:07;00:00:36;60;31;0.0;1;800;Off;2
00:02:08;00:00:37;59;31;0.0;1;800;Off;2
00:02:09;00:00:38;60;31;0.0;2;800;Off;2
00:02:10;00:00:39;60;31;0.0;1;800;Off;2
00:02:11;00:00:40;59;31;0.0;2;800;Off;2
00:02:12;00:00:41;60;31;0.0;3;800;Off;2
00:02:13;00:00:42;60;31;0.0;2;800;Off;2
00:02:14;00:00:43;59;31;0.0;3;800;Off;2
00:02:15;00:00:44;59;31;0.0;3;800;Off;2
00:02:16;00:00:45;59;31;0.0;6;800;Off;2
00:02:17;00:00:46;59;31;0.0;5;800;Off;2
00:02:18;00:00:47;59;31;0.0;5;800;Off;2
00:02:19;00:00:48;59;31;0.0;5;800;Off;2
00:02:20;00:00:49;59;31;0.0;5;800;Off;2
00:02:21;00:00:50;59;31;0.0;5;800;Off;2
00:02:22;00:00:51;59;31;0.0;6;800;Off;2
00:02:23;00:00:52;59;31;0.0;5;800;Off;2
00:02:24;00:00:53;59;31;0.0;7;800;Off;2
00:02:25;00:00:54;59;31;0.0;6;800;Off;2
00:02:26;00:00:55;59;31;0.0;9;800;Off;2
00:02:27;00:00:56;60;31;0.0;7;800;Off;2
00:02:28;00:00:57;59;31;0.0;9;800;Off;2
00:02:29;00:00:58;60;31;0.0;6;800;Off;2
00:02:30;00:00:59;59;31;0.0;7;800;Off;2
00:02:31;00:01:00;59;31;0.0;5;800;Off;2
00:02:32;00:01:01;59;31;0.0;6;800;Off;2
00:02:33;00:01:02;60;31;0.0;5;800;Off;2
00:02:34;00:01:03;60;31;0.0;4;800;Off;2
00:02:35;00:01:04;60;31;0.0;4;800;Off;2
00:02:36;00:01:05;61;31;0.0;3;800;Off;2
00:02:37;00:01:06;60;31;0.0;3;800;Off;2
00:02:38;00:01:07;60;31;0.0;3;800;Off;2
00:02:39;00:01:08;61;31;0.0;2;800;Off;2
00:02:40;00:01:09;60;31;0.0;2;800;Off;2
00:02:41;00:01:10;61;31;0.0;2;800;Off;2
00:02:42;00:01:11;61;31;0.0;1;800;Off;2
00:02:43;00:01:12;60;31;0.0;1;800;Off;2
00:02:44;00:01:13;61;31;0.0;1;800;Off;2
00:02:45;00:01:14;60;31;0.0;1;800;Off;2
00:02:46;00:01:15;60;31;0.0;1;800;Off;2
00:02:47;00:01:16;60;31;0.0;0;800;Off;2
00:02:48;00:01:17;61;31;0.0;0;800;Off;2
00:02:49;00:01:18;61;31;0.0;0;800;Off;2
00:02:50;00:01:19;61;31;0.0;0;800;Off;2
00:02:51;00:01:20;60;31;0.0;0;800;Off;2
00:02:52;00:01:21;60;31;0.0;0;800;Off;2
00:02:53;00:01:22;60;31;0.0;0;800;Off;2
00:02:54;00:01:23;60;31;0.0;0;800;Off;2
00:02:55;00:01:24;61;31;0.0;0;800;Off;2
00:02:56;00:01:25;60;31;0.0;0;800;Off;2
00:02:57;00:01:26;61;31;0.0;0;800;Off;2
00:02:58;00:01:27;60;31;0.0;0;800;Off;2
00:02:59;00:01:28;60;31;0.0;0;800;Off;2
00:03:00;00:01:29;60;31;0.0;0;800;Off;2
00:03:01;00:01:30;60;31;0.0;0;800;Off;2
00:03:02;00:01:31;60;31;0.0;0;800;Off;2
00:03:03;00:01:32;60;31;0.0;0;800;Off;2
00:03:04;00:01:33;60;31;0.0;0;800;Off;2
00:03:05;00:01:34;60;31;0.0;0;800;Off;2
00:03:06;00:01:35;60;31;0.0;0;800;Off;2
00:03:07;00:01:36;60;31;0.0;0;800;Off;2
