Epoch 0 	 loss_c_data: 1.8295e+01 	 loss_c_ode: 2.0340e-03
Epoch 1000 	 loss_c_data: 1.4274e-03 	 loss_c_ode: 9.9422e-06
Epoch 2000 	 loss_c_data: 1.0881e-03 	 loss_c_ode: 8.5177e-06
Epoch 3000 	 loss_c_data: 1.0102e-03 	 loss_c_ode: 6.2056e-06
Epoch 4000 	 loss_c_data: 9.4164e-04 	 loss_c_ode: 5.3736e-06
Epoch 5000 	 loss_c_data: 9.3700e-04 	 loss_c_ode: 4.8089e-06
Epoch 6000 	 loss_c_data: 9.3479e-04 	 loss_c_ode: 2.7678e-06
Epoch 7000 	 loss_c_data: 9.3482e-04 	 loss_c_ode: 2.1253e-06
Epoch 8000 	 loss_c_data: 9.3470e-04 	 loss_c_ode: 1.7509e-06
Epoch 9000 	 loss_c_data: 9.3523e-04 	 loss_c_ode: 1.4991e-06
Epoch 10000 	 loss_c_data: 9.3472e-04 	 loss_c_ode: 1.3234e-06
Epoch 11000 	 loss_c_data: 9.3466e-04 	 loss_c_ode: 1.2030e-06
Epoch 12000 	 loss_c_data: 9.3468e-04 	 loss_c_ode: 1.1224e-06
Epoch 13000 	 loss_c_data: 9.3473e-04 	 loss_c_ode: 1.0645e-06
Epoch 14000 	 loss_c_data: 9.3463e-04 	 loss_c_ode: 1.0109e-06
Epoch 15000 	 loss_c_data: 9.3463e-04 	 loss_c_ode: 9.6873e-07
Epoch 16000 	 loss_c_data: 9.3471e-04 	 loss_c_ode: 9.3147e-07
Epoch 17000 	 loss_c_data: 9.3466e-04 	 loss_c_ode: 9.0141e-07
Epoch 18000 	 loss_c_data: 9.3483e-04 	 loss_c_ode: 8.7614e-07
Epoch 19000 	 loss_c_data: 9.3621e-04 	 loss_c_ode: 8.4968e-07
Epoch 20000 	 loss_c_data: 9.3468e-04 	 loss_c_ode: 8.2783e-07
Epoch 21000 	 loss_c_data: 9.3480e-04 	 loss_c_ode: 8.0833e-07
Epoch 22000 	 loss_c_data: 9.3463e-04 	 loss_c_ode: 7.9239e-07
Epoch 23000 	 loss_c_data: 9.3463e-04 	 loss_c_ode: 7.7667e-07
Epoch 24000 	 loss_c_data: 9.3525e-04 	 loss_c_ode: 7.6199e-07
Epoch 25000 	 loss_c_data: 9.3464e-04 	 loss_c_ode: 7.4824e-07
Epoch 26000 	 loss_c_data: 9.3568e-04 	 loss_c_ode: 6.0201e-07
Epoch 27000 	 loss_c_data: 9.3536e-04 	 loss_c_ode: 5.2730e-07
Epoch 28000 	 loss_c_data: 9.3531e-04 	 loss_c_ode: 4.7354e-07
