,t,TG,DG,MG,G,ME
0,0.0,0.61911421,0.040004937,0.000394678,0.0,0.0
1,1.0,0.6147439145573592,0.04414903002175045,0.0006171032530140802,3.7772665564261843e-06,0.004600275307893753
2,2.0,0.6100308942699051,0.04857740972506356,0.0008954227180105373,1.0098410257342039e-05,0.0096042575314641
3,3.0,0.6050021351405597,0.053256331033432004,0.0012355155288126989,1.9843219433823833e-05,0.014992599375545979
4,4.0,0.599682872751466,0.058153731304579494,0.0016431778878790064,3.404276367291459e-05,0.02074792329221964
5,5.0,0.5940961042509592,0.06323972998502206,0.002124102941004254,5.3887466947344365e-05,0.02685530623421073
6,6.0,0.5882622405045843,0.0684869466567273,0.0026839003350936546,8.073676372077898e-05,0.03330266661942005
7,7.0,0.5821991228589034,0.07387045260834049,0.0033281181042433454,0.00011613051765380078,0.04008078994229436
8,8.0,0.5759221442134297,0.07936761204468559,0.004062265428935803,0.0001618026567484776,0.047183260321617126
9,9.0,0.5694447235294795,0.08495760897489738,0.0048917968326599075,0.00021969509771224693,0.054605997167527676
10,10.0,0.5627786792905247,0.09062107561471414,0.005822097047919102,0.00029197270714576007,0.06234689662232995
11,11.0,0.555934782707802,0.09633959273191642,0.006858412622229822,0.000381036467388185,0.07040523597970605
12,12.0,0.5489231754184878,0.1020953338811035,0.008005780730152196,0.0004895349507023639,0.07878120755776763
13,13.0,0.5417537531905985,0.10787075899856638,0.009268939824530548,0.0006203730104061833,0.0874754642136395
14,14.0,0.5344364080668604,0.11364845840575646,0.010652240695187516,0.0007767175798107928,0.09648879943415523
15,15.0,0.5269812984482563,0.1194109888965125,0.012159539133997328,0.0009619984580240271,0.10582177015021443
16,16.0,0.5193988667891538,0.12514092402847957,0.013794126318523354,0.0011799080334640166,0.1154746082611382
17,17.0,0.5116999518216765,0.13082084155025434,0.015558636727498538,0.0014343948955684027,0.12544700736179948
18,18.0,0.5038957457148647,0.13643343376311015,0.01745498970033384,0.0017296555547545722,0.13573808828368783
19,19.0,0.4959976925605154,0.1419616556012864,0.019484351369308,0.0020701254347841314,0.14634644286707044
20,20.0,0.48801748744185924,0.14738879354985904,0.021647080759273536,0.0024604633022136113,0.1572700529359281
21,21.0,0.479966953498981,0.1526986262978847,0.023942709182144768,0.00290553607419497,0.16850636107847095
22,22.0,0.47185789058890104,0.15787557561265778,0.02636995280975259,0.003410405867271038,0.18005240755155683
23,23.0,0.4637020603844142,0.16290477292927455,0.02892668380284465,0.003980308111295017,0.19190477347001433
24,24.0,0.4555110848599291,0.1677721669183905,0.03160994032280302,0.0046206332431211194,0.20405965531244874
25,25.0,0.447296363403759,0.1724646138245101,0.03441594143280542,0.005336906974207523,0.21651292545720935
