,t,Q,TG,DG,MG,G,ME
69,69.0,6.0,0.12981427,0.14949282,0.12373839,0.26884368,1.1507251
70,70.0,6.0,0.1274652,0.14718486,0.12204691,0.27523094,1.1641347
71,71.0,6.0,0.12519644,0.1449096,0.12034335,0.28151318,1.1772414
72,72.0,6.0,0.12300381,0.14266856,0.11863401,0.28768697,1.1900486
73,73.0,6.0,0.12088339,0.14046304,0.116924755,0.29374927,1.2025601
74,74.0,6.0,0.11883134,0.13829416,0.11522083,0.2996975,1.2147804
75,75.0,6.0,0.11684418,0.13616298,0.113527074,0.30552965,1.2267139
76,76.0,6.0,0.114918485,0.13407032,0.11184778,0.3112443,1.238365
77,77.0,6.0,0.11305125,0.13201694,0.11018689,0.31684017,1.2497386
78,78.0,6.0,0.11123945,0.13000347,0.108547725,0.32231647,1.2608392
79,79.0,6.0,0.10948028,0.1280304,0.106933385,0.3276728,1.2716721
80,80.0,6.0,0.10777129,0.12609825,0.10534651,0.332909,1.282242
81,81.0,6.0,0.10610998,0.124207094,0.10378927,0.33802515,1.292554
82,82.0,6.0,0.10449429,0.122357294,0.102263585,0.34302187,1.3026129
83,83.0,6.0,0.10292216,0.12054883,0.10077095,0.3478998,1.3124241
84,84.0,6.0,0.10139169,0.11878173,0.099312656,0.35265973,1.3219918
85,85.0,6.0,0.099901214,0.11705588,0.09788961,0.35730276,1.3313209
86,86.0,6.0,0.09844918,0.11537109,0.096502475,0.36183044,1.3404167
87,87.0,6.0,0.09703411,0.11372705,0.095151655,0.36624405,1.3492837
88,88.0,6.0,0.09565469,0.11212343,0.09383733,0.37054527,1.3579267
89,89.0,6.0,0.09430975,0.110559806,0.092559524,0.3747358,1.36635
90,90.0,6.0,0.09299818,0.1090357,0.09131796,0.37881762,1.3745586
91,91.0,6.0,0.09171889,0.10755049,0.09011228,0.3827927,1.382557
92,92.0,6.0,0.090471044,0.10610366,0.088942006,0.38666302,1.3903499
93,93.0,6.0,0.089253716,0.10469453,0.08780643,0.39043093,1.3979415
94,94.0,6.0,0.088066116,0.10332231,0.08670482,0.3940987,1.4053367
95,95.0,6.0,0.086907476,0.10198642,0.08563634,0.39766827,1.4125391
96,96.0,6.0,0.0857771,0.10068597,0.08460006,0.40114224,1.4195539
97,97.0,6.0,0.08467436,0.099420205,0.083594985,0.40452296,1.4263852
98,98.0,6.0,0.08359866,0.09818843,0.08262018,0.40781265,1.4330372
99,99.0,6.0,0.08254933,0.09698972,0.081674494,0.41101372,1.4395145
100,100.0,6.0,0.08152585,0.09582327,0.08075694,0.41412872,1.445821
101,101.0,6.0,0.08052771,0.09468828,0.079866424,0.41715986,1.4519614
