,t,TG,DG,MG,G,ME
0,0.0,0.61911421,0.040004937,0.000394678,0.0,0.0
1,1.0,0.6129950649195528,0.045751256890022275,0.000762498292012766,5.005105776945129e-06,0.0064969751983881
2,2.0,0.6067078626805162,0.05158963196294856,0.0012013385369094758,1.4992145224823616e-05,0.013242991641163826
3,3.0,0.6002572780565536,0.05750849845203113,0.0017168159194874315,3.1232535548042506e-05,0.020241534803062677
4,4.0,0.5936518708334482,0.06349274006056141,0.00231405347060661,5.516047167475335e-05,0.027492035645991564
5,5.0,0.5869024271235979,0.0695253885568912,0.002997641097160682,8.836801862344146e-05,0.03499148227274418
6,6.0,0.5800205838025725,0.07558897745179485,0.0037716623576010315,0.0001326012861682102,0.042735813185572624
7,7.0,0.5730178911329424,0.0816664169760282,0.0046397585485714226,0.0001897586989798583,0.050720916129648685
8,8.0,0.5659053955317652,0.08774136800634216,0.005605171138292804,0.00026189067284576595,0.05894308816641569
9,9.0,0.5586934500464416,0.09379839247407865,0.006670782279095307,0.00035120035317959264,0.06739926431328058
10,10.0,0.5513917977080858,0.09982287234010648,0.007839112013450517,0.00046004348405404016,0.0760869337245822
11,11.0,0.5440096953974283,0.1058008936451609,0.009112308902538075,0.0005909274404984899,0.08500400092452765
12,12.0,0.5365561047659433,0.11171909842955421,0.010492114635987832,0.0007465074668289162,0.09414855763316154
13,13.0,0.5290398752407348,0.11756455527933787,0.011979815021029367,0.0009295797135564499,0.10351863224059343
14,14.0,0.5214698269122457,0.12332471741678666,0.013576207619032516,0.001143073161074426,0.11311205942183733
15,15.0,0.5138548352846122,0.12898739336373757,0.015281558904668941,0.0013900372068746947,0.12292633019387722
16,16.0,0.506203848505131,0.13454077208729934,0.017095575976988926,0.0016736284233047627,0.1329585164785385
17,17.0,0.49852584312643766,0.1399734853984649,0.019017400156578674,0.0019970963112427853,0.14320528134703636
18,18.0,0.49082981153365135,0.14527465777786921,0.021045589290431394,0.002363766274356749,0.15366284176707268
19,19.0,0.4831246501856661,0.15043400556164335,0.023178143596148743,0.002777025416435208,0.1643270757049322
20,20.0,0.4754191079267478,0.15544189049246263,0.025412519631779446,0.0032403065633843653,0.17519355565309525
21,21.0,0.4677217082210994,0.16028938677477192,0.027745656838512673,0.0037570731292362325,0.18625762406736612
22,22.0,0.4600406839602804,0.16496832438128542,0.03017401083546008,0.004330805786594283,0.19751446787267923
23,23.0,0.4523839197212076,0.16947132351192187,0.03269359160388137,0.004964989660948049,0.2089591808617115
24,24.0,0.4447588875048971,0.17379182299914311,0.035300009354821096,0.005663104289851617,0.22058685962110758
25,25.0,0.4371726499960935,0.17792406307848643,0.037988500140479456,0.00642861064261524,0.2323926007375121
26,26.0,0.4296318191194153,0.1818630956331129,0.04075396613391365,0.007264942854817491,0.24437156226485968
27,27.0,0.42214256442125797,0.18560475695262205,0.04359100426720704,0.008175498100172263,0.2565189655870199
28,28.0,0.4147106084131813,0.1891456437514956,0.04649394395003344,0.009163627742964309,0.2688301205635071
29,29.0,0.4073412624278283,0.1924830805728073,0.04945685498589898,0.010232625871140044,0.2813003733754158
30,30.0,0.40003942522194147,0.1956150999976183,0.05247357807295645,0.011385720565158408,0.2939251232892275
31,31.0,0.39280959927450776,0.1985404091173644,0.055537750881037365,0.012626064934011083,0.30669980961829424
32,32.0,0.38565594294082284,0.20125834483037244,0.05864281340675677,0.013956722679722589,0.31961984373629093
33,33.0,0.3785822536886847,0.2037688668569411,0.06178204150112594,0.015380661927338224,0.3326806388795376
34,34.0,0.37159204260419965,0.20607251000905882,0.06494853778915728,0.01690073357167421,0.34587748907506466
35,35.0,0.3646885260098791,0.20817036928924273,0.06813526403332378,0.018519664874474984,0.35920559521764517
36,36.0,0.3578746496790266,0.2100640766074742,0.07133505533622826,0.0202400423513609,0.3726600185036659
37,37.0,0.3511531251573181,0.2117557679520781,0.07454063690440978,0.02206429430952994,0.38623562920838594
38,38.0,0.344526431159786,0.21324807593914222,0.07774463988082732,0.023994677459995728,0.39992709271609783
39,39.0,0.3379968438388026,0.21454409919528764,0.08093962462792421,0.026033256661321502,0.4137288238853216
40,40.0,0.3315664316618061,0.21564738931915264,0.08411811146127308,0.02818189164827345,0.42763499449938536
41,41.0,0.3252370749690747,0.2165619304505038,0.08727260137150313,0.030442217357631307,0.4416394913569093
42,42.0,0.3190104738899684,0.21729211441556465,0.09039560675794507,0.03281562914344249,0.45573592092841864
43,43.0,0.3128881623127675,0.21784272303188693,0.09347967983396972,0.03530325902829645,0.46991756465286016
44,44.0,0.3068714855329311,0.21821890697896953,0.09651745802896346,0.037905973607848864,0.4841774497181177
45,45.0,0.3009616375059998,0.2184261539004604,0.09950168773705388,0.04062434517982183,0.4985082698985934
46,46.0,0.2951596408241606,0.21847026826430585,0.10242526995191599,0.04345864522474585,0.5129024488851428
47,47.0,0.2894663588234401,0.21835734237533536,0.10528129286306227,0.04640882997045992,0.5273521235212684
48,48.0,0.2838824923240757,0.21809372331331026,0.10806307725781823,0.04947453131171642,0.5418491763994098
49,49.0,0.27840858009617686,0.21768598377088558,0.11076421330856408,0.05265504703129409,0.5563852554187179
50,50.0,0.27304498908083796,0.2171408900976042,0.11337860294791187,0.05594934219698189,0.5709518268704414
51,51.0,0.2677919581622994,0.216465360739627,0.11590048152195538,0.059356023783038836,0.5855400990694761
52,52.0,0.26264954601388335,0.21566643172258984,0.11832448205152775,0.06287336441891966,0.600141191855073
53,53.0,0.25761766369428396,0.21475122568512808,0.12064564454542721,0.06649929028208135,0.6147460881620646
54,54.0,0.25269607883851886,0.2137269076410542,0.12285945441747333,0.0702313831934589,0.6293456703424454
55,55.0,0.2478844002911067,0.21260065296514433,0.12496187438430513,0.07406689621711848,0.6439307946711779
56,56.0,0.24318209719817996,0.21137961235212635,0.12694935983220362,0.07800275435874937,0.6584923006594181
57,57.0,0.23858850738938808,0.21007086606545847,0.1288188847777086,0.08203556550870417,0.6730210380628705
58,58.0,0.23410282946165561,0.2086814028661559,0.1305679499002757,0.0861616416295874,0.687507932074368
59,59.0,0.2297241334893918,0.2072180781032751,0.13219460140155875,0.09037701063061832,0.7019440187141299
60,60.0,0.22545136894073248,0.20568758961594205,0.13369742821144187,0.09467743685672758,0.7163204634562135
61,61.0,0.22128337305944323,0.20409644991009038,0.13507556396710002,0.099058436921041,0.7306285938248038
62,62.0,0.21721887831550002,0.2024509547263245,0.13632868875922882,0.1035153020566213,0.7448599440976977
63,63.0,0.21325651147376656,0.2007571741923551,0.13745700922502452,0.10804312885011313,0.7590062851086259
64,64.0,0.20939481105629265,0.19902092302067678,0.1384612517960953,0.11263683740253327,0.7730596456676722
65,65.0,0.20563222175437867,0.1972477472372214,0.1393426447705018,0.11729120951349614,0.7870123721659184
66,66.0,0.2019671272576964,0.19544292115455966,0.14010288728807369,0.12200088728422998,0.8008570643141866
67,67.0,0.1983978283682084,0.19361142525298994,0.1407441380963313,0.12676043085957645,0.8145867008715868
68,68.0,0.19492256628323257,0.19175795223413508,0.14126897230219343,0.1315643314665067,0.8281945986673236
69,69.0,0.19153952841620803,0.18988689933753114,0.14168035826353603,0.1364070360941696,0.8416744321584702
70,70.0,0.18824685887407422,0.1880023706689338,0.1419816173676985,0.14128297496790765,0.8550202380865812
71,71.0,0.1850426491440451,0.1861081772003184,0.14217639649926,0.1461865992678213,0.8682264760136604
72,72.0,0.18192496975857675,0.18420784957556527,0.14226862095004195,0.15111238206009148,0.8812879454344511
73,73.0,0.17889185423005283,0.1823046325225244,0.14226246770179146,0.1560548681227374,0.8941998798400164
74,74.0,0.1759413102266556,0.1804015111628781,0.14216231560042375,0.16100868558714865,0.9069579066708684
75,75.0,0.17307134378675282,0.1785012098479877,0.14197271718351417,0.16596855199168203,0.9195580063387752
76,76.0,0.17027993440601885,0.17660620915553074,0.14169835688719773,0.17092932224477408,0.9319965960457921
77,77.0,0.16756506344277322,0.17471875590121846,0.14134401472458863,0.1758859886249411,0.9442704580724239
78,78.0,0.16492471225533545,0.17284088246373933,0.14091453462081277,0.18083369381929515,0.956376738846302
79,79.0,0.16235686313334763,0.17097441842629116,0.1404147848317983,0.18576775700057624,0.9683129638433456
80,80.0,0.1598595114049679,0.1691210008211295,0.13984963664027178,0.19068367429281352,0.980077002197504
81,81.0,0.15743065519232213,0.1672820946186642,0.13922392547304058,0.19557714764232514,0.9916670946404338
82,82.0,0.15506831869456827,0.16545900553314488,0.13854242994623506,0.20044406898523448,1.0030817780643702
83,83.0,0.15277053728673518,0.1636528911985318,0.13780983996751034,0.20528055470640538,1.0143199414014816
84,84.0,0.15053537661183536,0.16186477793230217,0.13703074951829636,0.2100829190967488,1.025380739942193
85,85.0,0.148360926061607,0.16009557004867594,0.13620962347543114,0.21484770368988393,1.0362636325880885
86,86.0,0.14624530250180423,0.158346061500148,0.13535078515472138,0.2195716740025091,1.0469683595001698
87,87.0,0.14418665586013257,0.15661695124431055,0.13445840420374894,0.22425181208382128,1.0574949001893401
88,88.0,0.14218316959191024,0.15490884743480485,0.13353647983806455,0.22888532629440306,1.0678434912115335
89,89.0,0.14023306487101972,0.15322228092549842,0.132588838396466,0.2334696387333679,1.0780145805329084
90,90.0,0.13833460571218192,0.15155771085842054,0.13161912391135716,0.23800238244439242,1.0880088126286864
91,91.0,0.1364860882607466,0.14991553490831058,0.13063077855097377,0.24248142097349046,1.0978270629420877
92,92.0,0.1346858594191438,0.14829609114526313,0.12962706846358502,0.24690480366552947,1.1074703466147184
93,93.0,0.1329323014800614,0.14669966967626016,0.12861105234535658,0.25127079919184325,1.1169398799538612
94,94.0,0.13122384795892894,0.14512651497347753,0.12758559843698764,0.25557786155695794,1.1262370040640235
95,95.0,0.12955897893730461,0.1435768263399462,0.12655338498937213,0.25982463289255975,1.1353632025420666
96,96.0,0.12793621500927865,0.1420507714137296,0.12551689467566335,0.2640099420605111,1.1443200949579477
97,97.0,0.1263541307856506,0.14054848011432688,0.1244784311222496,0.26813278136978624,1.1531093940138817
98,98.0,0.12481134651202619,0.1390700497649471,0.1234401123894962,0.2721923149583745,1.1617329260334373
99,99.0,0.12330652574051082,0.1376155525430898,0.12240387492986643,0.27618787041137693,1.170192620716989
100,100.0,0.12183838883388698,0.13618502989260953,0.12137149780230844,0.28011890709603904,1.1784904533997178
101,101.0,0.12040569759879172,0.1347784995086352,0.12034458614127957,0.2839850403761375,1.186628500930965
102,102.0,0.11900726413328111,0.13339595300926368,0.11932459746660912,0.28778600901569007,1.1946088830009103
103,103.0,0.11764194663587868,0.13203736012651127,0.11831284145066762,0.2915216754117864,1.2024337779730558
104,104.0,0.11630865033689797,0.13070266917197507,0.11731048387648785,0.2951920202394831,1.210105407051742
105,105.0,0.11500632517013609,0.12939180470852654,0.11631856130609536,0.298797132440086,1.2176260333508253
106,106.0,0.11373396484155118,0.1281046745352308,0.11533798480579877,0.3023371994422632,1.2249979521147907
107,107.0,0.11249060822624624,0.12684116456507247,0.114369547629601,0.3058125032039243,1.23222347907722
108,108.0,0.11127533471185624,0.12560114580987494,0.11341393662790084,0.30922340647521196,1.2393049481324852
109,109.0,0.11008726699251592,0.12438446367009084,0.11247174086222672,0.3125703521000105,1.2462447108700871
110,110.0,0.10892556548092425,0.12319095097331803,0.11154345090674483,0.31585385626385687,1.253045130521059
111,111.0,0.10778943156797349,0.12202042331768673,0.11062947374942028,0.3190744949897635,1.2597085637971759
112,112.0,0.10667809970650732,0.12087268046884339,0.1097301306965413,0.32223291275295196,1.2662373883649707
113,113.0,0.10559084299925625,0.11974750356598299,0.10884568158710622,0.3253297954724985,1.2726339614018798
114,114.0,0.10452696621391833,0.11864466443507474,0.10797631035732352,0.3283658826185274,1.2789006410166621
115,115.0,0.10348580857712686,0.1175639148786525,0.10712214576253914,0.3313419544065255,1.285039777867496
116,116.0,0.10246673772085368,0.11650499878300827,0.10628325485797846,0.33425883226300357,1.291053713299334
117,117.0,0.10146915107939303,0.11546764513327282,0.10545966092670583,0.3371173664854723,1.2969447746872902
118,118.0,0.10049247356105506,0.11445157267002862,0.10465133742602789,0.3399184399677324,1.3027152745053172
119,119.0,0.09953615847948849,0.11345648709534209,0.10385822312148535,0.34266295492852805,1.3083675047382712
120,120.0,0.09859967870611608,0.11248208805768292,0.10308021533476436,0.3453518415262806,1.313903750386089
121,121.0,0.09768253505203783,0.11152806449531119,0.10231718321504318,0.3479860408624518,1.3193262605927885
122,122.0,0.09678424602348268,0.11059409882722895,0.10156896331520998,0.35056651545892237,1.3246372784487903
123,123.0,0.09590435387540519,0.10967986089958351,0.10083537216471755,0.35309423668513773,1.329839021898806
124,124.0,0.09504241902355015,0.10878502102418344,0.10011620487259948,0.3555701787045109,1.3349336734972894
125,125.0,0.09419801864746868,0.10790924066527288,0.09941123838709914,0.35799532592500327,1.3399234018288553
126,126.0,0.09337074855316341,0.10705217709614437,0.09872023103000843,0.3603706669455278,1.3448103475384414
127,127.0,0.09256021572250783,0.10621348526178401,0.09804292249666774,0.3626972001438844,1.3495966386981308
128,128.0,0.09176604483250439,0.10539281451924246,0.09737905061977231,0.3649759136533248,1.3542843647301197
129,129.0,0.09098787359867155,0.10458981562255423,0.09672833879651749,0.3672077956071007,1.358875588979572
130,130.0,0.0902253504467374,0.10380413466914098,0.09609050949277603,0.36939382901618956,1.363372350577265
131,131.0,0.08947813684094608,0.10303541682510178,0.09546526934193694,0.3715350006168592,1.3677766667678952
132,132.0,0.08874590402442872,0.10228330585955184,0.0948523291683408,0.3736322845725226,1.372090526856482
133,133.0,0.08802833301920354,0.10154745066388052,0.0942513956053766,0.3756866443363833,1.3763158842921257
134,134.0,0.08732511183220804,0.10082749873249333,0.09366216690453016,0.37769904615561245,1.3804546799510717
135,135.0,0.08663594197455704,0.10012309430016678,0.0930843496991905,0.37967043765092967,1.3845088151283562
136,136.0,0.08596052775133312,0.09943389044924181,0.09251764503481114,0.3816017603894579,1.3884801701642573
137,137.0,0.08529858184952199,0.0987595397963981,0.09196175721647465,0.38349394476244925,1.392370596062392
138,138.0,0.08464982580367386,0.09809969542397659,0.09141639799984419,0.38534790439734934,1.3961819116957486
139,139.0,0.08401398394230664,0.09745401786489885,0.09088126749905073,0.38716455431858776,1.3999159233644605
140,140.0,0.08339078990716398,0.09682216532377999,0.09035608771430576,0.38894478067959426,1.4035743898712099
141,141.0,0.08277997920263469,0.0962038043871383,0.08984056760730469,0.3906894724277663,1.4071590630337596
142,142.0,0.08218129524934947,0.09559860490112107,0.08933443104090416,0.3923994924334693,1.4106716508977115
