Time	Value				
					
0,001666667	63				
0,003333333	5				
0,005	1				
0,006666667	-37				
0,008333333	-56				
0,01	-56				
0,011666667	-38				
0,013333333	-31				
0,015	-33				
0,016666667	-32				
0,018333333	-36				
0,02	-35				
0,021666667	-43				
0,023333333	-39				
0,025	-27				
0,026666667	-24				
0,028333333	-25				
0,03	-12				
0,031666667	-9				
0,033333333	-20				
0,035	-41				
0,036666667	-37				
0,038333333	-24				
0,04	-25				
0,041666667	-29				
0,043333333	-15				
0,045	-19				
0,046666667	-29				
0,048333333	-41				
0,05	-47				
0,051666667	-55				
0,053333333	-49				
0,055	-53				
0,056666667	-39				
0,058333333	-44				
0,06	-52				
0,061666667	-34				
0,063333333	-36				
0,065	-40				
0,066666667	-36				
0,068333333	-41				
0,07	-33				
0,071666667	-15				
0,073333333	-5				
0,075	-6				
0,076666667	-1				
0,078333333	-14				
0,08	-15				
0,081666667	-30				
0,083333333	-55				
0,085	-61				
0,086666667	-43				
0,088333333	-26				
0,09	-20				
0,091666667	-34				
0,093333333	-44				
0,095	-34				
0,096666667	-33				
0,098333333	-41				
0,1	-46				
0,101666667	-60				
0,103333333	-55				
0,105	-29				
0,106666667	-17				
0,108333333	-15				
0,11	-21				
0,111666667	-30				
0,113333333	-39				
0,115	-70				
0,116666667	-56				
0,118333333	-50				
0,12	-37				
0,121666667	-13				
0,123333333	1				
0,125	-8				
0,126666667	-25				
0,128333333	-39				
0,13	-35				
0,131666667	-49				
0,133333333	-24				
0,135	-26				
0,136666667	-26				
0,138333333	-31				
0,14	-34				
0,141666667	-27				
0,143333333	-38				
0,145	-30				
0,146666667	-20				
0,148333333	-30				
0,15	-23				
0,151666667	-13				
0,153333333	-19				
0,155	-33				
0,156666667	-20				
0,158333333	-20				
0,16	-39				
0,161666667	-49				
0,163333333	-34				
0,165	-43				
0,166666667	-33				
0,168333333	-21				
0,17	-30				
0,171666667	-34				
0,173333333	-32				
0,175	-29				
0,176666667	-34				
0,178333333	-27				
0,18	-20				
0,181666667	-23				
0,183333333	-32				
0,185	-36				
0,186666667	-42				
0,188333333	-52				
0,19	-57				
0,191666667	-37				
0,193333333	-14				
0,195	-18				
0,196666667	-36				
0,198333333	-49				
0,2	-44				
0,201666667	-49				
0,203333333	-45				
0,205	-22				
0,206666667	-31				
0,208333333	-42				
0,21	-30				
0,211666667	-30				
0,213333333	-53				
0,215	-52				
0,216666667	-48				
0,218333333	-44				
0,22	-55				
0,221666667	-38				
0,223333333	-24				
0,225	-23				
0,226666667	-33				
0,228333333	-63				
0,23	-63				
0,231666667	-44				
0,233333333	-35				
0,235	-33				
0,236666667	-27				
0,238333333	-16				
0,24	-42				
0,241666667	-36				
0,243333333	-39				
0,245	-39				
0,246666667	-32				
0,248333333	-40				
0,25	-40				
0,251666667	-31				
0,253333333	-11				
0,255	-19				
0,256666667	-25				
0,258333333	-30				
0,26	-41				
0,261666667	-34				
0,263333333	-33				
0,265	-31				
0,266666667	-31				
0,268333333	-18				
0,27	-22				
0,271666667	-33				
0,273333333	-54				
0,275	-55				
0,276666667	-44				
0,278333333	-45				
0,28	-51				
0,281666667	-37				
0,283333333	-35				
0,285	-20				
0,286666667	-32				
0,288333333	-35				
0,29	-27				
