Time	Value				
					
0,001666667	-7				
0,003333333	9				
0,005	15				
0,006666667	-2				
0,008333333	-11				
0,01	-24				
0,011666667	-15				
0,013333333	-1				
0,015	-13				
0,016666667	-6				
0,018333333	-11				
0,02	-16				
0,021666667					
0,023333333	-1				
0,025	-7				
0,026666667	-1				
0,028333333					
0,03	4				
0,031666667	-2				
0,033333333	-4				
0,035					
0,036666667	1				
0,038333333	-11				
0,04	-15				
0,041666667	-16				
0,043333333	-11				
0,045	-8				
0,046666667	-9				
0,048333333	-14				
0,05	-15				
0,051666667	-17				
0,053333333	-14				
0,055	-24				
0,056666667	-28				
0,058333333	-19				
0,06	-4				
0,061666667	-1				
0,063333333	-21				
0,065	-51				
0,066666667	-54				
0,068333333	-39				
0,07	-16				
0,071666667	-9				
0,073333333	-18				
0,075	-19				
0,076666667	1				
0,078333333	-14				
0,08	-31				
0,081666667	-21				
0,083333333	-21				
0,085	-11				
0,086666667	8				
0,088333333	1				
0,09					
0,091666667	-6				
0,093333333	-10				
0,095	-13				
0,096666667	-13				
0,098333333	-19				
0,1	-6				
0,101666667	1				
0,103333333	7				
0,105	-6				
0,106666667	-5				
0,108333333	-15				
0,11	-14				
0,111666667	-20				
0,113333333	-5				
0,115	7				
0,116666667	-1				
0,118333333	-9				
0,12	-8				
0,121666667	-11				
0,123333333	-12				
0,125	-11				
0,126666667	-9				
0,128333333	8				
0,13	-10				
0,131666667	-18				
0,133333333	-10				
0,135	-5				
0,136666667	-5				
0,138333333	-16				
0,14	-21				
0,141666667	-11				
0,143333333	7				
0,145	4				
0,146666667	-1				
0,148333333	-7				
0,15	-15				
0,151666667	-28				
0,153333333	-22				
0,155	-7				
0,156666667	9				
0,158333333	-6				
0,16	-4				
0,161666667	-19				
0,163333333	-33				
0,165	-20				
0,166666667	-3				
0,168333333	15				
0,17	-7				
0,171666667	-12				
0,173333333	-1				
0,175	6				
0,176666667	-3				
0,178333333	-11				
0,18	-20				
0,181666667	-19				
0,183333333	-3				
0,185	12				
0,186666667	9				
0,188333333	11				
0,19	-6				
0,191666667	-11				
0,193333333	-11				
0,195	-7				
0,196666667	-7				
0,198333333	12				
0,2	16				
0,201666667					
0,203333333	1				
0,205	-1				
0,206666667	-11				
0,208333333	-3				
0,21	-16				
0,211666667	-3				
0,213333333	4				
0,215	-21				
0,216666667	-33				
0,218333333	-17				
0,22	-14				
0,221666667	-8				
0,223333333	-10				
0,225	7				
0,226666667	5				
0,228333333	-5				
0,23	-13				
0,231666667	-15				
0,233333333	-12				
0,235	-3				
0,236666667	-16				
0,238333333	3				
0,24	6				
0,241666667	-11				
0,243333333	-28				
0,245	-30				
0,246666667	-30				
0,248333333	-18				
0,25	-22				
0,251666667	-6				
0,253333333	-11				
0,255	-12				
0,256666667	-1				
0,258333333	-5				
0,26	-25				
0,261666667	-16				
0,263333333	5				
0,265	-3				
0,266666667	-1				
0,268333333	18				
0,27	14				
0,271666667	-5				
0,273333333	-11				
0,275	-1				
0,276666667	1				
0,278333333	-17				
0,28	-16				
0,281666667	9				
0,283333333	5				
0,285	8				
0,286666667	-1				
0,288333333	1				
0,29	8				
0,291666667	6				
0,293333333	1				
0,295	11				
0,296666667	5				
0,298333333	-3				
0,3	5				
0,301666667	-7				
0,303333333	-13				
0,305	-10				
