Time	Value				
					
0,001666667	7				
0,003333333	25				
0,005	50				
0,006666667	7				
0,008333333	11				
0,01	28				
0,011666667	30				
0,013333333	25				
0,015	14				
0,016666667	18				
0,018333333	22				
0,02	12				
0,021666667	-7				
0,023333333	2				
0,025	8				
0,026666667	18				
0,028333333	9				
0,03	20				
0,031666667	30				
0,033333333	22				
0,035	11				
0,036666667	7				
0,038333333	4				
0,04	6				
0,041666667	17				
0,043333333	6				
0,045	11				
0,046666667	8				
0,048333333	8				
0,05	4				
0,051666667	3				
0,053333333	3				
0,055	15				
0,056666667	8				
0,058333333	4				
0,06	8				
0,061666667	6				
0,063333333	5				
0,065	7				
0,066666667	21				
0,068333333	24				
0,07	16				
0,071666667	21				
0,073333333	20				
0,075	13				
0,076666667	-1				
0,078333333	7				
0,08	-1				
0,081666667	-2				
0,083333333	-5				
0,085	-11				
0,086666667	-17				
0,088333333	-17				
0,09	-17				
0,091666667	-22				
0,093333333	-26				
0,095	-8				
0,096666667	15				
0,098333333	22				
0,1	4				
0,101666667	-8				
0,103333333	-4				
0,105	-15				
0,106666667	-24				
0,108333333	-3				
0,11	5				
0,111666667	13				
0,113333333	10				
0,115	-3				
0,116666667	-8				
0,118333333	-6				
0,12	-13				
0,121666667	-10				
0,123333333	3				
0,125	-9				
0,126666667	-19				
0,128333333	-23				
0,13	-18				
0,131666667	-17				
0,133333333	-16				
0,135	-8				
0,136666667	-11				
0,138333333	-29				
0,14	-25				
0,141666667	-17				
0,143333333	-20				
0,145	-2				
0,146666667	-12				
0,148333333	-12				
0,15	5				
0,151666667	-2				
0,153333333	4				
0,155	-2				
0,156666667	-12				
0,158333333	-17				
0,16	-16				
0,161666667	-12				
0,163333333					
0,165	-1				
0,166666667	5				
0,168333333	-2				
0,17	-14				
0,171666667	-21				
0,173333333	-10				
0,175	-18				
0,176666667	-13				
0,178333333	-22				
0,18	-27				
0,181666667	-29				
0,183333333	-23				
0,185	-20				
0,186666667	-21				
0,188333333	-35				
0,19	-35				
0,191666667	-31				
0,193333333	-14				
0,195	-12				
0,196666667	-2				
0,198333333					
0,2	-5				
0,201666667	-25				
0,203333333	-25				
0,205	-27				
0,206666667	-25				
0,208333333	-37				
0,21	-34				
0,211666667	-37				
0,213333333	-40				
0,215	-33				
0,216666667	-17				
0,218333333	-5				
0,22	-22				
0,221666667	-32				
0,223333333	-26				
0,225	-14				
0,226666667	-9				
0,228333333	-31				
0,23	-21				
0,231666667	-19				
0,233333333	-21				
0,235	-14				
0,236666667	-6				
0,238333333	-26				
0,24	-43				
0,241666667	-50				
0,243333333	-38				
0,245	-22				
0,246666667	-13				
0,248333333	-6				
0,25	-10				
0,251666667	-33				
0,253333333	-51				
0,255	-47				
0,256666667	-38				
0,258333333	-32				
0,26	-20				
0,261666667	-16				
0,263333333	-12				
0,265	2				
0,266666667	9				
0,268333333	-3				
0,27	-25				
0,271666667	-32				
0,273333333	-34				
0,275	-26				
0,276666667	-20				
0,278333333	-36				
0,28	-38				
0,281666667	-31				
0,283333333	-40				
0,285	-34				
0,286666667	-23				
0,288333333	-22				
0,29	-31				
0,291666667	-31				
0,293333333	-43				
0,295	-25				
0,296666667	-12				
0,298333333	-6				
0,3	12				
0,301666667	-22				
0,303333333	-40				
0,305	-39				
