Time	Value				
					
0,001666667	23				
0,003333333	8				
0,005	-25				
0,006666667	-43				
0,008333333	-20				
0,01	1				
0,011666667	8				
0,013333333	-7				
0,015	-21				
0,016666667	-23				
0,018333333	3				
0,02	5				
0,021666667	-11				
0,023333333	-5				
0,025	-3				
0,026666667	-25				
0,028333333	-20				
0,03	-18				
0,031666667	-16				
0,033333333					
0,035	8				
0,036666667	9				
0,038333333	3				
0,04	-8				
0,041666667	-20				
0,043333333	-37				
0,045	-29				
0,046666667	-19				
0,048333333	-6				
0,05	-10				
0,051666667	2				
0,053333333	-5				
0,055	-13				
0,056666667	-19				
0,058333333	-16				
0,06	-8				
0,061666667	-14				
0,063333333	-22				
0,065	1				
0,066666667	8				
0,068333333	-3				
0,07	-19				
0,071666667	-13				
0,073333333	5				
0,075	-1				
0,076666667	-7				
0,078333333	-18				
0,08	-16				
0,081666667	-27				
0,083333333	-15				
0,085	-20				
0,086666667	-2				
0,088333333	-1				
0,09	-11				
0,091666667	-27				
0,093333333	-23				
0,095	-20				
0,096666667	-8				
0,098333333	9				
0,1	2				
0,101666667					
0,103333333	-2				
0,105	-25				
0,106666667	-29				
0,108333333	-20				
0,11	-28				
0,111666667	-11				
0,113333333	6				
0,115	38				
0,116666667	22				
0,118333333	14				
0,12	13				
0,121666667	-3				
0,123333333	-14				
0,125	2				
0,126666667	15				
0,128333333	3				
0,13	-1				
0,131666667	6				
0,133333333	3				
0,135	1				
0,136666667	9				
0,138333333	2				
0,14	-5				
0,141666667	4				
0,143333333	16				
0,145	4				
0,146666667	-1				
0,148333333	8				
0,15	11				
0,151666667	9				
0,153333333	11				
0,155	8				
0,156666667	-4				
0,158333333	-6				
0,16	-9				
0,161666667					
0,163333333	16				
0,165	19				
0,166666667	2				
0,168333333					
0,17	11				
0,171666667	15				
0,173333333	12				
0,175	23				
0,176666667	19				
0,178333333	8				
0,18	14				
0,181666667	22				
0,183333333	30				
0,185	17				
0,186666667	5				
0,188333333	9				
0,19	19				
0,191666667	23				
0,193333333	21				
0,195	23				
0,196666667	24				
0,198333333	25				
0,2	28				
0,201666667	41				
0,203333333	35				
0,205	35				
0,206666667	18				
0,208333333	15				
0,21	7				
0,211666667	18				
0,213333333	17				
0,215	34				
0,216666667	24				
0,218333333	26				
0,22	16				
0,221666667	17				
0,223333333	14				
0,225	13				
0,226666667	28				
0,228333333	21				
0,23	25				
0,231666667	14				
0,233333333	30				
0,235	29				
0,236666667	7				
0,238333333	13				
0,24	27				
0,241666667	28				
0,243333333	21				
0,245	40				
0,246666667	37				
0,248333333	19				
0,25	11				
0,251666667	28				
0,253333333	44				
0,255	21				
0,256666667	6				
0,258333333	12				
0,26	5				
0,261666667	10				
0,263333333	8				
0,265	18				
0,266666667	39				
0,268333333	31				
0,27	25				
0,271666667	16				
