,cTG,cDG,cMG,t
0,0.57019943,0.06362451,0.0,0.0
1,0.032627363,0.039033882,0.04638089,1.0
2,0.029884323,0.037213653,0.047473066,2.0
3,0.024764474,0.029276518,0.037670225,4.0
4,0.023494545,0.02842465,0.037300505,6.0
5,0.019576674,0.021703286,0.02953628,8.0
