t,cB,cTG,cDG,cMG,cG
0,0,0.570199408,0.063624505,0,0
1,,0.032627364,0.039033882,0.046380888,
2,,0.029884324,0.037213655,0.047473064,
4,,0.024764475,0.029276519,0.037670225,
6,,0.023494546,0.02842465,0.037300504,
8,,0.019576675,0.021703287,0.029536281,
