,t,Q,TG,DG,MG,G,ME
0,0.0,6.0,0.6148574,0.038164463,-0.0007532127,-4.4170767e-05,-0.00014053285
1,1.0,6.0,0.6042596,0.047372665,0.00058981404,-7.905066e-05,0.011664048
2,2.0,6.0,0.59356815,0.056403887,0.0021338426,-7.617846e-05,0.023798555
3,3.0,6.0,0.58283913,0.06520809,0.0038833953,-1.3213605e-05,0.036277607
4,4.0,6.0,0.57210934,0.073753506,0.005836431,0.0001248084,0.049109884
5,5.0,6.0,0.5613992,0.08202194,0.0079859905,0.00034650043,0.062297434
6,6.0,6.0,0.5507196,0.09000431,0.010322053,0.00065661967,0.0758366
7,7.0,6.0,0.5400744,0.09769623,0.012832422,0.0010574721,0.08971833
8,8.0,6.0,0.5294663,0.10509543,0.01550414,0.0015504993,0.10392949
9,9.0,6.0,0.5188984,0.112200245,0.018323716,0.002137363,0.118454345
10,10.0,6.0,0.50837594,0.119008794,0.021277826,0.0028205365,0.13327563
11,11.0,6.0,0.49790624,0.1255195,0.024353545,0.0036031604,0.14837566
12,12.0,6.0,0.48749888,0.13173097,0.02753817,0.004489567,0.16373743
13,13.0,6.0,0.47716448,0.13764273,0.030819248,0.005484337,0.1793447
14,14.0,6.0,0.46691406,0.14325547,0.034184657,0.006592255,0.19518194
15,15.0,6.0,0.45675865,0.14857122,0.0376226,0.007818555,0.2112354
16,16.0,6.0,0.4467085,0.1535933,0.041121263,0.009167867,0.22749214
17,17.0,6.0,0.43677288,0.15832603,0.044668823,0.010644503,0.24393944
18,18.0,6.0,0.42695984,0.16277488,0.048253812,0.012252212,0.2605656
19,19.0,6.0,0.41727626,0.1669457,0.051864598,0.01399423,0.27735847
20,20.0,6.0,0.40772837,0.17084493,0.055489846,0.015873123,0.29430643
21,21.0,6.0,0.39832097,0.17447902,0.059118398,0.017890781,0.3113973
22,22.0,6.0,0.38905874,0.17785458,0.06273938,0.020048603,0.32861865
23,23.0,6.0,0.3799451,0.18097784,0.0663421,0.022347275,0.3459577
24,24.0,6.0,0.37098357,0.18385518,0.06991647,0.024786908,0.36340111
25,25.0,6.0,0.36217692,0.18649241,0.07345273,0.02736706,0.38093546
26,26.0,6.0,0.35352746,0.1888956,0.07694179,0.03008668,0.398547
27,27.0,6.0,0.3450372,0.1910703,0.0803749,0.032944325,0.41622132
28,28.0,6.0,0.33670816,0.19302237,0.08374418,0.03593807,0.43394464
29,29.0,6.0,0.32854137,0.19475707,0.087042004,0.039065327,0.45170224
30,30.0,6.0,0.3205382,0.19628033,0.09026174,0.042323235,0.4694798
31,31.0,6.0,0.31269938,0.19759773,0.09339705,0.04570853,0.48726314
32,32.0,6.0,0.30502543,0.19871506,0.09644219,0.049217656,0.50503826
33,33.0,6.0,0.29751697,0.19963855,0.09939228,0.05284681,0.52279115
34,34.0,6.0,0.29017416,0.20037413,0.10224266,0.056592055,0.5405087
35,35.0,6.0,0.2829972,0.20092823,0.104989186,0.06044907,0.5581772
36,36.0,6.0,0.27598628,0.20130754,0.107628316,0.06441365,0.5757845
37,37.0,6.0,0.26914138,0.20151877,0.11015682,0.0684816,0.5933183
38,38.0,6.0,0.2624628,0.20156889,0.11257194,0.07264853,0.6107668
39,39.0,6.0,0.25595045,0.20146492,0.11487126,0.07691015,0.6281188
40,40.0,6.0,0.24960454,0.20121415,0.11705266,0.08126229,0.64536417
41,41.0,6.0,0.24342488,0.2008237,0.119114265,0.08570051,0.6624921
42,42.0,6.0,0.2374117,0.20030108,0.12105483,0.09022089,0.6794941
43,43.0,6.0,0.23156478,0.19965354,0.12287307,0.09481915,0.6963604
44,44.0,6.0,0.22588363,0.19888827,0.12456815,0.0994911,0.71308297
45,45.0,6.0,0.22036792,0.19801262,0.12613955,0.10423275,0.7296541
46,46.0,6.0,0.21501671,0.19703346,0.12758698,0.10903974,0.74606615
47,47.0,6.0,0.20982875,0.19595781,0.12891047,0.11390794,0.76231253
48,48.0,6.0,0.20480248,0.19479233,0.13011044,0.11883299,0.7783867
49,49.0,6.0,0.19993596,0.19354342,0.13118736,0.123810425,0.7942826
50,50.0,6.0,0.19522673,0.19221744,0.13214232,0.12883598,0.80999494
51,51.0,6.0,0.19067192,0.19082028,0.1329765,0.13390481,0.82551825
52,52.0,6.0,0.1862682,0.18935767,0.1336915,0.13901232,0.840848
53,53.0,6.0,0.18201193,0.18783498,0.13428912,0.14415377,0.85598
54,54.0,6.0,0.17789912,0.18625751,0.13477154,0.14932436,0.87091017
55,55.0,6.0,0.17392538,0.18463004,0.13514113,0.15451905,0.88563496
56,56.0,6.0,0.17008619,0.18295729,0.13540064,0.15973315,0.9001514
57,57.0,6.0,0.166377,0.18124387,0.13555306,0.16496173,0.91445655
58,58.0,6.0,0.16279295,0.1794937,0.13560161,0.17019977,0.9285481
59,59.0,6.0,0.15932931,0.17771104,0.13554975,0.17544265,0.94242394
60,60.0,6.0,0.15598136,0.17589967,0.13540117,0.18068574,0.9560828
61,61.0,6.0,0.15274453,0.17406332,0.1351598,0.18592444,0.9695238
62,62.0,6.0,0.14961457,0.17220551,0.13482967,0.19115432,0.98274565
63,63.0,6.0,0.14658722,0.17032963,0.13441509,0.19637108,0.99574804
64,64.0,6.0,0.14365864,0.168439,0.13392048,0.20157072,1.0085311
65,65.0,6.0,0.14082518,0.16653678,0.13335021,0.20674935,1.0210949
66,66.0,6.0,0.13808355,0.16462588,0.13270894,0.21190314,1.0334402
67,67.0,6.0,0.13543063,0.16270941,0.13200134,0.21702869,1.0455682
68,68.0,6.0,0.13286367,0.16078995,0.1312319,0.22212261,1.05748
69,69.0,6.0,0.1303801,0.15887022,0.13040538,0.22718182,1.0691767
70,70.0,6.0,0.12797743,0.15695253,0.12952612,0.23220326,1.0806603
71,71.0,6.0,0.12565349,0.15503925,0.1285986,0.23718421,1.0919329
72,72.0,6.0,0.1234062,0.1531325,0.12762724,0.24212192,1.1029959
73,73.0,6.0,0.121233284,0.151234,0.1266159,0.24701406,1.1138519
74,74.0,6.0,0.11913289,0.14934549,0.12556867,0.25185817,1.124503
75,75.0,6.0,0.11710285,0.14746855,0.12448922,0.25665218,1.1349515
76,76.0,6.0,0.11514115,0.1456044,0.12338109,0.26139402,1.1452
77,77.0,6.0,0.11324565,0.14375417,0.12224752,0.26608205,1.155251
78,78.0,6.0,0.111414015,0.14191857,0.121091455,0.27071416,1.1651068
79,79.0,6.0,0.109643966,0.1400984,0.119915724,0.27528897,1.17477
80,80.0,6.0,0.10793324,0.13829437,0.11872293,0.279805,1.1842436
81,81.0,6.0,0.106279284,0.1365067,0.1175154,0.28426105,1.19353
82,82.0,6.0,0.10467976,0.13473581,0.11629523,0.28865594,1.2026321
83,83.0,6.0,0.103131965,0.13298206,0.115064666,0.29298878,1.2115525
84,84.0,6.0,0.10163362,0.13124554,0.11382535,0.29725862,1.2202946
85,85.0,6.0,0.10018206,0.1295265,0.11257927,0.30146486,1.2288612
86,86.0,6.0,0.09877497,0.12782504,0.11132786,0.30560708,1.2372551
87,87.0,6.0,0.09740995,0.12614149,0.11007294,0.30968475,1.2454802
88,88.0,6.0,0.096084744,0.12447606,0.108816,0.31369776,1.253539
89,89.0,6.0,0.09479716,0.1228289,0.10755837,0.31764597,1.2614354
90,90.0,6.0,0.09354529,0.12120053,0.10630177,0.32152945,1.2691725
91,91.0,6.0,0.09232706,0.11959113,0.105047435,0.32534838,1.2767538
92,92.0,6.0,0.0911409,0.11800124,0.10379696,0.32910293,1.2841831
93,93.0,6.0,0.08998507,0.116431355,0.102551684,0.33279347,1.2914635
94,94.0,6.0,0.08885819,0.1148819,0.10131304,0.3364206,1.2985986
95,95.0,6.0,0.08775892,0.11335352,0.10008238,0.33998471,1.3055924
96,96.0,6.0,0.08668606,0.11184682,0.09886113,0.34348643,1.3124479
97,97.0,6.0,0.08563857,0.110362306,0.09765048,0.34692645,1.3191687
98,98.0,6.0,0.08461538,0.10890058,0.09645176,0.35030538,1.3257582
99,99.0,6.0,0.08361575,0.10746226,0.09526625,0.3536241,1.3322197
100,100.0,6.0,0.082638875,0.10604778,0.09409504,0.35688305,1.3385565
101,101.0,6.0,0.08168416,0.10465789,0.09293941,0.36008346,1.3447717
102,102.0,6.0,0.080750786,0.10329285,0.09180017,0.36322594,1.3508686
103,103.0,6.0,0.079838306,0.101953104,0.09067829,0.36631125,1.35685
104,104.0,6.0,0.07894621,0.100639075,0.08957477,0.36934042,1.3627188
105,105.0,6.0,0.078073956,0.09935102,0.08849026,0.37231416,1.368478
106,106.0,6.0,0.077221036,0.098089114,0.08742547,0.37523335,1.3741297
