Epoch 0 	 loss_c_data: 2.0896e+01 	 loss_c_ode: 1.1317e-03
Epoch 1000 	 loss_c_data: 1.5231e-01 	 loss_c_ode: 7.6282e-05
Epoch 2000 	 loss_c_data: 9.3724e-02 	 loss_c_ode: 1.0796e-04
Epoch 3000 	 loss_c_data: 5.1676e-02 	 loss_c_ode: 1.7091e-04
Epoch 4000 	 loss_c_data: 3.3738e-02 	 loss_c_ode: 7.8760e-05
Epoch 5000 	 loss_c_data: 7.7745e-01 	 loss_c_ode: 5.6600e-04
Epoch 6000 	 loss_c_data: 3.1270e+00 	 loss_c_ode: 7.5146e-04
Epoch 7000 	 loss_c_data: 1.7457e+00 	 loss_c_ode: 7.4921e-04
Epoch 8000 	 loss_c_data: 2.2802e+00 	 loss_c_ode: 1.2553e-03
Epoch 9000 	 loss_c_data: 2.2670e+00 	 loss_c_ode: 1.8957e-03
Epoch 10000 	 loss_c_data: 3.5350e+00 	 loss_c_ode: 1.3137e-03
Epoch 11000 	 loss_c_data: 3.5697e+00 	 loss_c_ode: 6.8426e-04
Epoch 12000 	 loss_c_data: 1.7910e+00 	 loss_c_ode: 3.3340e-04
Epoch 13000 	 loss_c_data: 3.0342e+00 	 loss_c_ode: 7.6286e-04
Epoch 14000 	 loss_c_data: 7.6955e+00 	 loss_c_ode: 2.1948e-03
Epoch 15000 	 loss_c_data: 5.7727e+00 	 loss_c_ode: 1.9033e-03
Epoch 16000 	 loss_c_data: 4.5832e-01 	 loss_c_ode: 7.9334e-04
Epoch 17000 	 loss_c_data: 2.8504e-01 	 loss_c_ode: 9.6834e-04
Epoch 18000 	 loss_c_data: 1.2393e-01 	 loss_c_ode: 7.4429e-04
Epoch 19000 	 loss_c_data: 2.8437e-01 	 loss_c_ode: 2.0419e-03
Epoch 20000 	 loss_c_data: 1.0064e+00 	 loss_c_ode: 2.2201e-03
Epoch 21000 	 loss_c_data: 3.2059e+00 	 loss_c_ode: 1.3650e-03
Epoch 22000 	 loss_c_data: 1.0011e+01 	 loss_c_ode: 1.1692e-03
Epoch 23000 	 loss_c_data: 1.1769e+01 	 loss_c_ode: 1.2518e-03
Epoch 24000 	 loss_c_data: 1.4192e+01 	 loss_c_ode: 3.2541e-03
Epoch 25000 	 loss_c_data: 8.4580e+00 	 loss_c_ode: 1.8814e-03
Epoch 26000 	 loss_c_data: 8.1256e+00 	 loss_c_ode: 6.4718e-04
Epoch 27000 	 loss_c_data: 6.9466e+00 	 loss_c_ode: 4.0061e-04
Epoch 28000 	 loss_c_data: 1.0200e+01 	 loss_c_ode: 2.9422e-04
Epoch 29000 	 loss_c_data: 8.1582e-01 	 loss_c_ode: 2.4521e-04
Epoch 30000 	 loss_c_data: 2.4952e+00 	 loss_c_ode: 2.9325e-04
