Epoch 71000 	 loss_c_data: 8.6954e-04 	 loss_c_ode: 8.4511e-08
Epoch 72000 	 loss_c_data: 8.6960e-04 	 loss_c_ode: 8.4195e-08
Epoch 73000 	 loss_c_data: 8.6942e-04 	 loss_c_ode: 8.5201e-08
Epoch 74000 	 loss_c_data: 8.6950e-04 	 loss_c_ode: 8.8634e-08
Epoch 75000 	 loss_c_data: 8.6927e-04 	 loss_c_ode: 9.0616e-08
Epoch 76000 	 loss_c_data: 9.6136e-04 	 loss_c_ode: 3.0391e-08
Epoch 77000 	 loss_c_data: 9.6691e-04 	 loss_c_ode: 2.5666e-08
Epoch 78000 	 loss_c_data: 9.6850e-04 	 loss_c_ode: 2.3376e-08
Epoch 79000 	 loss_c_data: 9.7137e-04 	 loss_c_ode: 2.1595e-08
Epoch 80000 	 loss_c_data: 9.7397e-04 	 loss_c_ode: 2.0377e-08
Epoch 81000 	 loss_c_data: 9.7528e-04 	 loss_c_ode: 1.9569e-08
Epoch 82000 	 loss_c_data: 9.7616e-04 	 loss_c_ode: 2.1047e-08
Epoch 83000 	 loss_c_data: 9.7680e-04 	 loss_c_ode: 2.1527e-08
Epoch 84000 	 loss_c_data: 9.7696e-04 	 loss_c_ode: 1.8557e-08
Epoch 85000 	 loss_c_data: 9.7758e-04 	 loss_c_ode: 1.8311e-08
Epoch 86000 	 loss_c_data: 9.7810e-04 	 loss_c_ode: 1.7714e-08
Epoch 87000 	 loss_c_data: 9.7900e-04 	 loss_c_ode: 1.7200e-08
Epoch 88000 	 loss_c_data: 9.7923e-04 	 loss_c_ode: 1.7946e-08
Epoch 89000 	 loss_c_data: 9.7928e-04 	 loss_c_ode: 1.7941e-08
Epoch 90000 	 loss_c_data: 9.7939e-04 	 loss_c_ode: 1.6614e-08
Epoch 91000 	 loss_c_data: 9.7938e-04 	 loss_c_ode: 1.6448e-08
Epoch 92000 	 loss_c_data: 9.7853e-04 	 loss_c_ode: 1.6770e-08
Epoch 93000 	 loss_c_data: 9.7998e-04 	 loss_c_ode: 1.6112e-08
Epoch 94000 	 loss_c_data: 9.7879e-04 	 loss_c_ode: 1.6516e-08
Epoch 95000 	 loss_c_data: 9.9324e-04 	 loss_c_ode: 5.3764e-07
Epoch 96000 	 loss_c_data: 9.7921e-04 	 loss_c_ode: 1.5804e-08
Epoch 97000 	 loss_c_data: 9.7826e-04 	 loss_c_ode: 1.6364e-08
Epoch 98000 	 loss_c_data: 9.7925e-04 	 loss_c_ode: 1.5735e-08
Epoch 99000 	 loss_c_data: 9.8008e-04 	 loss_c_ode: 1.5394e-08
Epoch 100000 	 loss_c_data: 9.7902e-04 	 loss_c_ode: 1.5366e-08
Epoch 101000 	 loss_c_data: 9.7789e-04 	 loss_c_ode: 1.5415e-08
Epoch 102000 	 loss_c_data: 9.7678e-04 	 loss_c_ode: 1.5369e-08
Epoch 103000 	 loss_c_data: 9.7589e-04 	 loss_c_ode: 1.5514e-08
Epoch 104000 	 loss_c_data: 9.7515e-04 	 loss_c_ode: 1.5181e-08
Epoch 105000 	 loss_c_data: 9.7451e-04 	 loss_c_ode: 1.5442e-08
Epoch 106000 	 loss_c_data: 9.7385e-04 	 loss_c_ode: 1.5041e-08
Epoch 107000 	 loss_c_data: 9.7326e-04 	 loss_c_ode: 1.4890e-08
Epoch 108000 	 loss_c_data: 9.7271e-04 	 loss_c_ode: 1.4818e-08
Epoch 109000 	 loss_c_data: 9.7219e-04 	 loss_c_ode: 1.4760e-08
Epoch 110000 	 loss_c_data: 9.7170e-04 	 loss_c_ode: 1.4609e-08
Epoch 111000 	 loss_c_data: 9.7122e-04 	 loss_c_ode: 1.4544e-08
Epoch 112000 	 loss_c_data: 9.7077e-04 	 loss_c_ode: 1.4450e-08
Epoch 113000 	 loss_c_data: 9.7033e-04 	 loss_c_ode: 1.4357e-08
Epoch 114000 	 loss_c_data: 9.6991e-04 	 loss_c_ode: 1.4266e-08
Epoch 115000 	 loss_c_data: 9.6950e-04 	 loss_c_ode: 1.4185e-08
Epoch 116000 	 loss_c_data: 9.6910e-04 	 loss_c_ode: 1.4106e-08
Epoch 117000 	 loss_c_data: 9.6870e-04 	 loss_c_ode: 1.4027e-08
Epoch 118000 	 loss_c_data: 9.6831e-04 	 loss_c_ode: 1.3950e-08
Epoch 119000 	 loss_c_data: 9.6793e-04 	 loss_c_ode: 1.3875e-08
Epoch 120000 	 loss_c_data: 9.6755e-04 	 loss_c_ode: 1.3804e-08
Epoch 121000 	 loss_c_data: 9.6717e-04 	 loss_c_ode: 1.3861e-08
Epoch 122000 	 loss_c_data: 9.6683e-04 	 loss_c_ode: 1.3755e-08
Epoch 123000 	 loss_c_data: 9.6647e-04 	 loss_c_ode: 1.3592e-08
Epoch 124000 	 loss_c_data: 9.6613e-04 	 loss_c_ode: 1.3523e-08
Epoch 125000 	 loss_c_data: 9.6579e-04 	 loss_c_ode: 1.3456e-08
Epoch 126000 	 loss_c_data: 9.6546e-04 	 loss_c_ode: 1.3390e-08
Epoch 127000 	 loss_c_data: 9.6514e-04 	 loss_c_ode: 1.3377e-08
Epoch 128000 	 loss_c_data: 9.6481e-04 	 loss_c_ode: 1.3328e-08
Epoch 129000 	 loss_c_data: 9.6451e-04 	 loss_c_ode: 1.3207e-08
Epoch 130000 	 loss_c_data: 9.6420e-04 	 loss_c_ode: 1.3137e-08
Epoch 131000 	 loss_c_data: 9.6390e-04 	 loss_c_ode: 1.3073e-08
Epoch 132000 	 loss_c_data: 9.6361e-04 	 loss_c_ode: 1.3216e-08
Epoch 133000 	 loss_c_data: 9.6332e-04 	 loss_c_ode: 1.2994e-08
Epoch 134000 	 loss_c_data: 9.6303e-04 	 loss_c_ode: 1.2902e-08
Epoch 135000 	 loss_c_data: 9.6275e-04 	 loss_c_ode: 1.2836e-08
Epoch 136000 	 loss_c_data: 9.6247e-04 	 loss_c_ode: 1.2780e-08
Epoch 137000 	 loss_c_data: 9.6220e-04 	 loss_c_ode: 1.2726e-08
Epoch 138000 	 loss_c_data: 9.6194e-04 	 loss_c_ode: 1.2671e-08
Epoch 139000 	 loss_c_data: 9.6168e-04 	 loss_c_ode: 1.2616e-08
Epoch 140000 	 loss_c_data: 9.6142e-04 	 loss_c_ode: 1.2563e-08
Epoch 141000 	 loss_c_data: 9.6117e-04 	 loss_c_ode: 1.2513e-08
Epoch 142000 	 loss_c_data: 9.6094e-04 	 loss_c_ode: 1.2583e-08
Epoch 143000 	 loss_c_data: 9.6069e-04 	 loss_c_ode: 1.2409e-08
Epoch 144000 	 loss_c_data: 9.6046e-04 	 loss_c_ode: 1.2359e-08
Epoch 145000 	 loss_c_data: 9.6022e-04 	 loss_c_ode: 1.2327e-08
Epoch 146000 	 loss_c_data: 9.6000e-04 	 loss_c_ode: 1.4985e-08
Epoch 147000 	 loss_c_data: 9.5977e-04 	 loss_c_ode: 1.2225e-08
Epoch 148000 	 loss_c_data: 9.5955e-04 	 loss_c_ode: 1.2174e-08
Epoch 149000 	 loss_c_data: 9.5935e-04 	 loss_c_ode: 1.2119e-08
Epoch 150000 	 loss_c_data: 9.5913e-04 	 loss_c_ode: 1.2099e-08
Epoch 151000 	 loss_c_data: 9.5893e-04 	 loss_c_ode: 1.2030e-08
Epoch 152000 	 loss_c_data: 9.5872e-04 	 loss_c_ode: 1.1987e-08
Epoch 153000 	 loss_c_data: 9.5852e-04 	 loss_c_ode: 1.1950e-08
Epoch 154000 	 loss_c_data: 9.5832e-04 	 loss_c_ode: 1.1947e-08
Epoch 155000 	 loss_c_data: 9.5813e-04 	 loss_c_ode: 1.1911e-08
Epoch 156000 	 loss_c_data: 9.5795e-04 	 loss_c_ode: 1.1825e-08
Epoch 157000 	 loss_c_data: 9.5785e-04 	 loss_c_ode: 1.3712e-08
Epoch 158000 	 loss_c_data: 9.5759e-04 	 loss_c_ode: 1.1750e-08
Epoch 159000 	 loss_c_data: 9.5742e-04 	 loss_c_ode: 1.1712e-08
Epoch 160000 	 loss_c_data: 9.5726e-04 	 loss_c_ode: 1.1820e-08
Epoch 161000 	 loss_c_data: 9.5708e-04 	 loss_c_ode: 1.1638e-08
Epoch 162000 	 loss_c_data: 9.5692e-04 	 loss_c_ode: 1.1602e-08
Epoch 163000 	 loss_c_data: 9.5676e-04 	 loss_c_ode: 1.1567e-08
Epoch 164000 	 loss_c_data: 9.5660e-04 	 loss_c_ode: 1.1533e-08
Epoch 165000 	 loss_c_data: 9.5644e-04 	 loss_c_ode: 1.1529e-08
Epoch 166000 	 loss_c_data: 9.5629e-04 	 loss_c_ode: 1.1584e-08
Epoch 167000 	 loss_c_data: 9.5616e-04 	 loss_c_ode: 1.1434e-08
Epoch 168000 	 loss_c_data: 9.5602e-04 	 loss_c_ode: 1.1523e-08
Epoch 169000 	 loss_c_data: 9.5585e-04 	 loss_c_ode: 1.1699e-08
Epoch 170000 	 loss_c_data: 9.5573e-04 	 loss_c_ode: 1.1341e-08
Epoch 171000 	 loss_c_data: 9.5561e-04 	 loss_c_ode: 1.1345e-08
Epoch 172000 	 loss_c_data: 9.5547e-04 	 loss_c_ode: 1.1287e-08
Epoch 173000 	 loss_c_data: 9.5534e-04 	 loss_c_ode: 1.1248e-08
Epoch 174000 	 loss_c_data: 9.5523e-04 	 loss_c_ode: 1.1580e-08
Epoch 175000 	 loss_c_data: 9.5509e-04 	 loss_c_ode: 1.1191e-08
Epoch 176000 	 loss_c_data: 9.5496e-04 	 loss_c_ode: 1.1163e-08
Epoch 177000 	 loss_c_data: 9.5484e-04 	 loss_c_ode: 1.1134e-08
Epoch 178000 	 loss_c_data: 9.5472e-04 	 loss_c_ode: 1.1107e-08
Epoch 179000 	 loss_c_data: 9.5460e-04 	 loss_c_ode: 1.1081e-08
Epoch 180000 	 loss_c_data: 9.5449e-04 	 loss_c_ode: 1.1054e-08
Epoch 181000 	 loss_c_data: 9.5438e-04 	 loss_c_ode: 1.1028e-08
Epoch 182000 	 loss_c_data: 9.5424e-04 	 loss_c_ode: 1.1087e-08
Epoch 183000 	 loss_c_data: 9.5416e-04 	 loss_c_ode: 1.0977e-08
Epoch 184000 	 loss_c_data: 9.5404e-04 	 loss_c_ode: 1.1028e-08
Epoch 185000 	 loss_c_data: 9.5395e-04 	 loss_c_ode: 1.0927e-08
Epoch 186000 	 loss_c_data: 9.5384e-04 	 loss_c_ode: 1.0903e-08
Epoch 187000 	 loss_c_data: 9.5375e-04 	 loss_c_ode: 1.1424e-08
Epoch 188000 	 loss_c_data: 9.5364e-04 	 loss_c_ode: 1.0856e-08
